SR,AuthorID,Affiliation,Country
"CRICK JM, 2025, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, J BUS RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"HAMZAH MI, 2023, INT J ENTREP SMALL B",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"MAHDI A, 2024, J RURAL STUD",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"MAHDI A, 2024, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"BELL J, 2003, J INT ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"BELL J, 2004, INT SMALL BUS J",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CHAUDHRY S, 2004, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CHAUDHRY SHIV, 2023, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2004, J BUS VENTURING",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2006, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2007, J INT ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2009, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2011, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2014, EUR BUS REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, MARK INTELL PLAN",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK D, 2018, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2016, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2018, J RES MARK ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, J RURAL STUD",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, EDUC TRAIN",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J BUS RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J INT MARKETING",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2022, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2022, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, INT J ENTREP SMALL B",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, INT SMALL BUS J",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2025, INT J ENTREP BEHAV R",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"FELZENSZTEIN C, 2022, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"KARAMI M, 2023, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"NGUYEN TK, 2021, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"SHARMA RR, 2018, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
