journal_id,source_title,journal
12.0,,JOURNAL OF CHEMICAL AND PHARMACEUTICAL RESEARCH
19900191906.0,ACAD MANAG ANN,ACADEMY OF MANAGEMENT ANNALS
5200152701.0,ACAD MANAG LEARN EDU,ACADEMY OF MANAGEMENT LEARNING AND EDUCATION
20191.0,ACAD MANAGE J,ACADEMY OF MANAGEMENT JOURNAL
4700152287.0,ACAD MANAGE PERSPECT,ACADEMY OF MANAGEMENT PERSPECTIVES
20206.0,ACAD MANAGE REV,ACADEMY OF MANAGEMENT REVIEW
5700168406.0,ACT LEARN HIGH EDUC,ACTIVE LEARNING IN HIGHER EDUCATION
18217.0,ACTA OECON,ACTA OECONOMICA
29424.0,ACTA PSYCHOL (AMST),ACTA PSYCHOLOGICA
26613.0,ADM POLICY MENT HLTH,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH
16036.0,ADMIN SCI QUART,ADMINISTRATIVE SCIENCE QUARTERLY
16032.0,ADMIN SOC,ADMINISTRATION & SOCIETY
4100151530.0,ADV INT MARK,ADVANCES IN INTERNATIONAL MARKETING
4100151518.0,ADV ST ENTR,"ADVANCES IN THE STUDY OF ENTREPRENEURSHIP, INNOVATION, AND ECONOMIC GROWTH"
21100376830.0,AFR J ECON MANAG STU,AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES
15081.0,AGR HUM VALUES,AGRICULTURE AND HUMAN VALUES
15061.0,AGR SYST,AGRICULTURAL SYSTEMS
53958.0,AGREKON,AGREKON
18700156722.0,AGRIBUSINESS,AGRIBUSINESS
19700183122.0,AGRIC AGRIC SCI PROC,AGRICULTURE AND AGRICULTURAL SCIENCE PROCEDIA
71598.0,AGRIC RESOUR ECON REV,AGRICULTURAL AND RESOURCE ECONOMICS REVIEW
32845.0,AM ANTHROPOL,AMERICAN ANTHROPOLOGIST
24733.0,AM BEHAV SCI,AMERICAN BEHAVIORAL SCIENTIST
22697.0,AM ECON REV,AMERICAN ECONOMIC REVIEW
29432.0,AM EDUC RES J,AMERICAN EDUCATIONAL RESEARCH JOURNAL
16925.0,AM J COMMUN PSYCHOL,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
17664.0,AM J PSYCHIAT,AMERICAN JOURNAL OF PSYCHIATRY
