journal_id,SR,year,Rank,Title,Type,Issn,eIssn,SJR,SJR Best Quartile,H index,Total Docs. (1999),Total Docs. (3years),Total Refs.,Total Citations (3years),Citable Docs. (3years),Citations / Doc. (2years),Ref. / Doc.,%Female,Overton,SDG,Country,Region,Publisher,Coverage,Categories,Areas,year.1,journal_abbr,Title_clean
12010.0,"GIGERENZER G, 2011, ANNU REV PSYCHOL",2011.0,74.0,ANNUAL REVIEW OF PSYCHOLOGY,journal,00664308,15452085,"10,331",Q1,298.0,,78.0,3475.0,2178.0,78.0,"22,87","144,79","54,76",17.0,0.0,United States,Northern America,Annual Reviews Inc.,"1950-1958, 1960-1963, 1965-2025",Psychology (miscellaneous) (Q1),Psychology,2011.0,ANNU REV PSYCHOL,
12024.0,"DHAMI MK, 2010, APPL COGNITIVE PSYCH",2010.0,3684.0,APPLIED COGNITIVE PSYCHOLOGY,journal,10990720,08884080,"0,993",Q1,125.0,,245.0,3316.0,527.0,230.0,"1,74","36,44","52,87",18.0,0.0,United Kingdom,Western Europe,John Wiley and Sons Ltd,1987-2025,Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2),Arts and Humanities; Psychology,2010.0,APPL COGNITIVE PSYCH,
12117.0,"SHAFAEI F, 2017, ASIA PAC J TOUR RES",2017.0,7415.0,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,journal,10941665,17416507,"0,636",Q1,70.0,,236.0,6321.0,380.0,233.0,"1,48","67,97","43,12",11.0,0.0,United Kingdom,Western Europe,Taylor and Francis Ltd.,2003-2025,"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting; Social Sciences",2017.0,ASIA PAC J TOUR RES,
12125.0,"CHIU CM, 2009, BEHAV INFORM TECHNOL",2009.0,6083.0,BEHAVIOUR AND INFORMATION TECHNOLOGY,journal,13623001,0144929X,"0,608",Q1,103.0,,146.0,2196.0,322.0,129.0,"1,19","47,74","34,07",8.0,0.0,United Kingdom,Western Europe,Taylor and Francis Ltd.,1982-2025,Social Sciences (miscellaneous) (Q1); Arts and Humanities (miscellaneous) (Q2); Human-Computer Interaction (Q2); Developmental and Educational Psychology (Q3),Arts and Humanities; Computer Science; Psychology; Social Sciences,2009.0,BEHAV INFORM TECHNOL,
12128.0,"SHU CY, 2020, BEHAV COGN PSYCHOTH",2020.0,5532.0,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,journal,14691833,13524658,"0,851",Q2,81.0,,161.0,2577.0,335.0,161.0,"2,15","38,46","58,23",0.0,6.0,United Kingdom,Western Europe,Cambridge University Press,1993-2025,Clinical Psychology (Q2); Medicine (miscellaneous) (Q2),Medicine; Psychology,2020.0,BEHAV COGN PSYCHOTH,
12277.0,"BEDFORD DS, 2015, MANAGE ACCOUNT RES",2015.0,1722.0,MANAGEMENT ACCOUNTING RESEARCH,journal,10445005,10961224,"1,814",Q1,106.0,,67.0,1301.0,297.0,59.0,"3,56","72,28","36,67",2.0,0.0,United States,Northern America,Academic Press,1990-2025,Accounting (Q1); Finance (Q1); Information Systems and Management (Q1),"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance",2015.0,MANAGE ACCOUNT RES,
12321.0,"KOCK N, 2018, INFORM SYST J",2018.0,1047.0,INFORMATION SYSTEMS JOURNAL,journal,13501917,13652575,"2,319",Q1,114.0,,89.0,4277.0,620.0,71.0,"5,52","82,25","36,36",16.0,10.0,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1991-2025,Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1),Computer Science,2018.0,INFORM SYST J,
12332.0,"AVEN T, 2014, SAFETY SCI",2014.0,4510.0,SAFETY SCIENCE,journal,18791042,09257535,"0,973",Q1,166.0,,640.0,10646.0,2035.0,623.0,"2,91","43,99","30,70",101.0,0.0,Netherlands,Western Europe,Elsevier B.V.,1991-2025,"Public Health, Environmental and Occupational Health (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)",Engineering; Medicine; Social Sciences,2014.0,,
12452.0,"FRITSCH M, 2018, RAUMFORSCH RAUMORDN",2018.0,34023.0,RAUMFORSCHUNG UND RAUMORDNUNG,journal,18694179,00340111,,-,24.0,,110.0,1737.0,68.0,95.0,"0,66","48,25","33,33",7.0,0.0,Germany,Western Europe,Oekom - Gesellschaft fuer Oekologische Kommunikation mbH,"1977-1987, 1990-1991, 1993-2024","Earth and Planetary Sciences (miscellaneous); Environmental Science (miscellaneous); Geography, Planning and Development; Urban Studies",Earth and Planetary Sciences; Environmental Science; Social Sciences,2018.0,RAUMFORSCH RAUMORDN,
12711.0,"BROSSEAU-LIARD PE, 2012, MULTIVAR BEHAV RES",2012.0,1763.0,MULTIVARIATE BEHAVIORAL RESEARCH,journal,00273171,15327906,"1,706",Q1,104.0,,119.0,1614.0,212.0,113.0,"1,61","47,47","25,00",3.0,0.0,United States,Northern America,Psychology Press Ltd,1966-2025,Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1),Arts and Humanities; Mathematics; Medicine; Psychology,2012.0,MULTIVAR BEHAV RES,
