branch_label,selection_strategy,branch_rank,node_id,baseline_ToS,sap_rank,year,title,journal,source_title,doi,has_article_metadata
branch_1,current,1,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,2025.0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-01-2022-0099,True
branch_1,current,2,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,2025.0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2022.2155688,True
branch_1,current,3,"CHEN YH, 2024, SUSTAINABILITY-BASEL",leaf,180151157,2024.0,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,True
branch_1,current,4,"MAYUTO R, 2023, FRONT PSYCHOL",branch_1,0,2023.0,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,10.3389/FPSYG.2023.1153142,True
branch_1,current,5,"CHOU WC, 2023, NTU MANAG REV",leaf,760388225,2023.0,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,10.6226/NTUMR.202308_33(2).0004,True
branch_1,current,6,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",,0,2023.0,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,10.1016/J.WDS.2022.100039,True
branch_1,current,7,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,2022.0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,10.34001/JMER.2021.12.02.2-23,True
branch_1,current,8,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",branch_1,0,2022.0,,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,,True
branch_1,current,9,"BUCCIERI D, 2022, IND MARKET MANAG",branch_1,0,2022.0,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,10.1016/J.INDMARMAN.2022.02.011,True
branch_1,current,10,"LI E, 2021, SUSTAINABILITY-BASEL",branch_1,0,2021.0,,,SUSTAINABILITY-BASEL,,True
