algorithm,branch_label,selection_strategy,community_size,eligible_candidate_count,community_internal_edges,community_density,community_connected_components,community_largest_component_fraction,selected_node_count,internal_edges_selected,density_selected,connected_components_selected,largest_component_fraction,mean_pairwise_text_similarity,member_node_ids
louvain_current,branch_1,current,43,36,75,0.083056,1,1.0,15,23,0.219048,1,1.0,0.037239,"CRICK JM, 2025, INT J ENTREP BEHAV R; ALAREENI B, 2025, J STRATEG MARK; QUINTERO-ARANGO LF, 2024, CLIO AM; CHEN YH, 2024, SUSTAINABILITY-BASEL; MAYUTO R, 2023, FRONT PSYCHOL; CHOU WC, 2023, NTU MANAG REV; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; ROBLEDO S, 2022, J SCIENTOMETR RES; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; ALQAHTANI N, 2022, J STRATEG MARK; WALES WJ, 2021, J BUS RES; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J"
louvain_current,branch_2,current,49,35,84,0.071429,1,1.0,15,16,0.152381,1,1.0,0.053965,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; MULKI J, 2019, J BUS RES; LEI H, 2019, CHIN MANAG STUD; EAPEN A, 2019, ORGAN SCI"
louvain_current,branch_3,current,128,94,190,0.023376,1,1.0,15,17,0.161905,1,1.0,0.069567,"KHAN H, 2025, INT J ENTREP BEHAV R; YANG Z, 2024, INT J ENTREP BEHAV R; ALI S, 2023, EUR J INNOV MANAG; KHAN H, 2021, INT BUS REV; RUST RT, 2020, IND MARKET MANAG; KHAN H, 2020, INT BUS REV; HAGEN B, 2019, INT MARKET REV; WELTER C, 2018, J BUS VENTURING; MU JF, 2018, IND MARKET MANAG; GUO HL, 2018, J BUS RES; ASLAM H, 2018, INT J OPER PROD MAN; SHENG ML, 2017, IND MARKET MANAG; LI Y, 2017, J PROD INNOVAT MANAG; JONES O, 2017, ENTREP REGION DEV; GOLGECI I, 2017, J BUS IND MARK"
leiden_current,branch_1,current,34,33,58,0.103387,1,1.0,15,22,0.209524,1,1.0,0.03565,"CRICK JM, 2025, INT J ENTREP BEHAV R; ALAREENI B, 2025, J STRATEG MARK; CHEN YH, 2024, SUSTAINABILITY-BASEL; MAYUTO R, 2023, FRONT PSYCHOL; CHOU WC, 2023, NTU MANAG REV; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN"
leiden_current,branch_2,current,86,61,135,0.036936,1,1.0,15,16,0.152381,1,1.0,0.058388,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; YASIN R, 2021, J KNOWL MANAG; PETRYLAITE E, 2021, J RES MARK ENTREP; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; PASCHEN J, 2019, J BUS IND MARK; MULKI J, 2019, J BUS RES"
leiden_current,branch_3,current,107,74,171,0.030153,1,1.0,15,18,0.171429,3,0.866667,0.055218,"FILLIS I, 2023, J RES MARK ENTREP; FILLIS I, 2021, ARTS MARK; LEHMAN K, 2020, HDB ENTREPRENEURSHIP; LEHMAN K, 2020; ALEXIOU K, 2020, NONPROF VOLUNT SEC Q; FILLIS I, 2017, J VACAT MARK; BOOTH K, 2017, VISIT STUD; FIGUEIREDO B, 2016, J CONSUM RES; FILLIS I, 2015, INT J ENTREP BEHAV R; FILLIS I, 2015; LEHMAN K, 2014, J RES MARK ENTREP; FROST V, 2014, THEGUARDIAN; CROSSICK G, 2014, CULT TRENDS; ROXAS B, 2013, TOURISM MANAGE; KIRCHNER TA, 2013, SOCIAL BUSINESS"
louvain_cohesive,branch_1,cohesive,43,36,75,0.083056,1,1.0,15,23,0.219048,1,1.0,0.037239,"CRICK JM, 2025, INT J ENTREP BEHAV R; QUINTERO-ARANGO LF, 2024, CLIO AM; CHEN YH, 2024, SUSTAINABILITY-BASEL; ALAREENI B, 2025, J STRATEG MARK; CHOU WC, 2023, NTU MANAG REV; MAYUTO R, 2023, FRONT PSYCHOL; ALQAHTANI N, 2022, J STRATEG MARK; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; ROBLEDO S, 2022, J SCIENTOMETR RES; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; WALES WJ, 2021, J BUS RES; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J"
louvain_cohesive,branch_2,cohesive,49,35,84,0.071429,1,1.0,15,16,0.152381,1,1.0,0.053965,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; MULKI J, 2019, J BUS RES; LEI H, 2019, CHIN MANAG STUD; EAPEN A, 2019, ORGAN SCI"
louvain_cohesive,branch_3,cohesive,128,94,190,0.023376,1,1.0,15,17,0.161905,1,1.0,0.069567,"KHAN H, 2025, INT J ENTREP BEHAV R; YANG Z, 2024, INT J ENTREP BEHAV R; ALI S, 2023, EUR J INNOV MANAG; KHAN H, 2021, INT BUS REV; RUST RT, 2020, IND MARKET MANAG; KHAN H, 2020, INT BUS REV; HAGEN B, 2019, INT MARKET REV; WELTER C, 2018, J BUS VENTURING; MU JF, 2018, IND MARKET MANAG; GUO HL, 2018, J BUS RES; ASLAM H, 2018, INT J OPER PROD MAN; SHENG ML, 2017, IND MARKET MANAG; LI Y, 2017, J PROD INNOVAT MANAG; JONES O, 2017, ENTREP REGION DEV; GOLGECI I, 2017, J BUS IND MARK"
leiden_cohesive,branch_1,cohesive,34,33,58,0.103387,1,1.0,15,22,0.209524,1,1.0,0.03565,"CRICK JM, 2025, INT J ENTREP BEHAV R; CHEN YH, 2024, SUSTAINABILITY-BASEL; ALAREENI B, 2025, J STRATEG MARK; CHOU WC, 2023, NTU MANAG REV; MAYUTO R, 2023, FRONT PSYCHOL; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN"
