branch_id,branch_label,branch_rank,node_id,year,paper_age,citations_received,citation_velocity,recent_activity_score,title,journal,source_title,has_article_metadata,log_citation_velocity,citation_velocity_score
branch_1_01,branch_1,1,"CRICK JM, 2025, INT J ENTREP BEHAV R",2025,1,8.0,4.0,0.8571428571428572,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,1.6094379124341003,1.0
branch_1_02,branch_1,2,"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024,2,0.0,0.0,0.7142857142857143,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,True,0.0,0.0
branch_1_03,branch_1,3,"ALAREENI B, 2025, J STRATEG MARK",2025,1,2.0,1.0,0.8571428571428572,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,0.6931471805599453,0.43067655807339306
branch_1_04,branch_1,4,"CHOU WC, 2023, NTU MANAG REV",2023,3,0.0,0.0,0.5714285714285714,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,True,0.0,0.0
branch_1_05,branch_1,5,"MAYUTO R, 2023, FRONT PSYCHOL",2023,3,2.0,0.5,0.5714285714285714,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,True,0.4054651081081644,0.25192963641259225
branch_1_06,branch_1,6,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",2023,3,5.0,1.25,0.5714285714285714,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,True,0.8109302162163288,0.5038592728251845
branch_1_07,branch_1,7,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",2022,4,2.0,0.4,0.4285714285714286,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,0.33647223662121295,0.20906195512216758
branch_1_08,branch_1,8,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",2022,4,3.0,0.6,0.4285714285714286,,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,True,0.4700036292457356,0.29202967422017917
branch_1_09,branch_1,9,"BUCCIERI D, 2022, IND MARKET MANAG",2022,4,3.0,0.6,0.4285714285714286,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,0.4700036292457356,0.29202967422017917
branch_1_10,branch_1,10,"LI E, 2021, SUSTAINABILITY-BASEL",2021,5,2.0,0.3333333333333333,0.2857142857142857,,,SUSTAINABILITY-BASEL,True,0.2876820724517809,0.1787469216608008
