root_id,node_id,sap_rank,title,abstract,year,journal,source_title,doi,has_article_metadata,token_count,citer_count,influence_count,top_tfidf_terms
root_01,"MORRIS MH, 2002, J MARKET THEORY PRAC",40268174438,ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,"The purpose of this paper is to critically explore the construct of entrepreneurial marketing (EM). This term is used as an integrative conceptualization that reflects such alternative perspectives as guerrilla marketing, radical marketing, expeditionary marketing, disruptive marketing and others. Seven core dimensions of EM are identified, and an underlying theoretical foundation based on resource advantage theory is proposed. A conceptual model is introduced of key factors surrounding the phenomenon of entrepreneurial marketing. Conclusions and implications are drawn for theory and practice, and priorities are proposed for continuing research.",2002.0,THE JOURNAL OF MARKETING THEORY AND PRACTICE,J MARKET THEORY PRAC,10.1080/10696679.2002.11501922,True,58,226,271,marketing; proposed; perspectives; construct; theory; entrepreneurial; emerging; critically; term; integrative
root_02,"COLLINSON E, 2001, MANAGEMENT DECISION",38429612973,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THIS PAPER DISCUSSES THE HISTORICAL PERSPECTIVE OF ENTREPRENEURIAL MARKETING.,2001.0,MANAGEMENT DECISION,MANAGEMENT DECISION,10.1108/EUM0000000006221,True,10,84,274,historical; perspective; discusses; entrepreneurial; marketing; practice
root_03,"STOKES D, 2000, J RES MARKETING ENTR",23496391859,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,"This paper considers how marketing can be made more appropriate in entrepreneurial contexts by proposing a conceptual model of the processes of marketing as undertaken by entrepreneurs. Although marketing is a key factor in the survival and development of business ventures, a number of entrepreneurial characteristics seem to be at variance with marketing according to the textbook. These include over-reliance on a restricted customer base, limited marketing expertise, and variable, unplanned effort. However, entrepreneurs and small business owners interpret marketing in ways that do not conform to standard textbook theory and practise. An examination of four key marketing concepts indicates ways in which entrepreneurial marketing differs from traditional marketing theory. Entrepreneurs tend to be ""innovation-oriented"", driven by new ideas and intuitive market feel, rather than customer oriented, or driven by rigorous assessment of market needs. They target markets through ""bottom-up"" self-selection and recommendations of customers and other influence groups, rather than relying on ""top-down"" segmentation, targeting and positioning processes. They prefer interactive marketing methods to the traditional mix of the four or seven ""P's"". They gather information through informal networking rather than formalised intelligence systems. These processes play to entrepreneurial strengths and represent marketing that is more appropriate in entrepreneurial contexts, rather than marketing which is second best due to resource limitations.",2000.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARKETING ENTR,10.1108/14715200080001536,True,143,89,266,marketing; processes; rather; entrepreneurial; entrepreneurs; contexts; textbook; ways; driven; they
root_04,"SHANE S, 2000, ACAD MANAGE REV",22758506587,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,"To date, the phenomenon of entrepreneurship has lacked a conceptual framework. In this note we draw upon previous research conducted in the different social science disciplines and applied fields of business to create a conceptual framework for the field. With this framework we explain a set of empirical phenomena and predict a set of outcomes not explained or predicted by conceptual frameworks already in existence in other fields.",2000.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,10.5465/AMR.2000.2791611,True,41,25,260,conceptual; framework; set; fields; field; entrepreneurship; promise; lacked; note; previous
root_05,"MILLER D, 1983, MANAGE SCI",21836642848,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,"The objective of the research was to discover the chief determinants of entrepreneurship, the process by which organizations renew themselves and their markets by pioneering, innovation, and risk taking. Some authors have argued that personality factors of the leader are what determine entrepreneurship, others have highlighted the role played by the structure of the organization, while a final group have pointed to the importance of strategy making. We believed that the manner and extent to which entrepreneurship would be influenced by all of these factors would in large measure depend upon the nature of the organization. Based upon the work of a number of authors we derived a crude typology of firms: Simple firms are small and their power is centralized at the top. Planning firms are bigger, their goal being smooth and efficient operation through the use of formal controls and plans. Organic firms strive to be adaptive to their environments, emphasizing expertise-based power and open communications. The predictiveness of the typology was established upon a sample of 52 firms using hypothesis-testing and analysis of variance techniques. We conjectured that in Simple firms entrepreneurship would be determined by the characteristics of the leader; in Planning firms it would be facilitated by explicit and well integrated product-market strategies, and in Organic firms it would be a function of environment and structure. These hypotheses were largely borne out by correlational and multiple regression analyses. Any programs which aim to stimulate entrepreneurship would benefit greatly from tailoring recommendations to the nature of the target firms.",1983.0,MANAGEMENT SCIENCE,MANAGE SCI,10.1287/MNSC.29.7.770,True,146,26,260,firms; would; entrepreneurship; upon; leader; organization; typology; simple; planning; organic
root_06,"MATSUNO K, 2002, J MARKETING",19307962597,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,"The recent literature suggests a potential tension between market orientation and entrepreneurial proclivity in achieving superior business performance. This is unsettling for marketers, because it could mean that being market oriented is detrimental to a firm that is also trying to be entrepreneurial and successful. To examine this unnerving potential, the authors investigate structural influences (both direct and indirect) of entrepreneurial proclivity and market orientation on business performance. The results indicate that entrepreneurial proclivity has not only a positive and direct relationship on market orientation but also an indirect and positive effect on market orientation through the reduction of departmentalization. The results also suggest that entrepreneurial proclivity's performance influence is positive when mediated by market orientation but negative or nonsignificant when not mediated by market orientation. The authors also provide a discussion and future research implications.",2002.0,JOURNAL OF MARKETING,J MARKETING,10.1509/JMKG.66.3.18.18507,True,84,24,261,proclivity; orientation; market; performance; entrepreneurial; positive; direct; indirect; mediated; potential
root_07,"LUMPKIN GT, 1996, ACAD MANAGE REV",18814634470,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,"THE PRIMARY PURPOSE OF THIS ARTICLE IS TO CLARIFY THE NATURE OF THE ENTREPRENEURIAL ORIENTATION (EO) CONSTRUCT AND TO PROPOSE A CONTINGENCY FRAMEWORK FOR INVESTIGATING THE RELATIONSHIP BETWEEN EO AND FIRM PERFORMANCE. WE FIRST EXPLORE AND REFINE THE DIMENSIONS OF EO AND DISCUSS THE USEFULNESS OF VIEWING A FIRM'S EO AS A MULTIDIMENSIONAL CONSTRUCT. THEN, DRAWING ON EXAMPLES FROM THE EO-RELATED CONTINGENCIES LITERATURE, WE SUGGEST ALTERNATIVE MODELS (MODERATING EFFECTS, MEDIATING EFFECTS, INDEPENDENT EFFECTS, INTERACTION EFFECTS) FOR TESTING THE EO-PERFORMANCE RELATIONSHIP.",1996.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,10.2307/258632,True,50,47,263,effects; construct; performance; relationship; orientation; firm; linking; clarify; propose; investigating
root_08,"BARNEY J, 1991, J MANAGE",17479986438,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,"Understanding sources of sustained competitive advantage has become a major area of research in strategic management. Building on the assumptions that strategic resources are heterogeneously distributed across firms and that these differences are stable over time, this article examines the link between firm resources and sustained competitive advantage. Four empirical indicators of the potential of firm resources to generate sustained competitive advantage-value, rareness, imitability, and substitutability-are discussed. The model is applied by analyzing the potential of several firm resources for generating sustained competitive advantages. The article concludes by examining implications of this firm resource model of sustained competitive advantage for other business disciplines.",1991.0,JOURNAL OF MANAGEMENT,J MANAGE,10.1177/014920639101700108,True,71,53,262,sustained; competitive; resources; advantage; firm; strategic; potential; model; sources; become
root_09,"SARASVATHY SD, 2001, ACAD MANAGE REV",8160153812,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,"SARAS D. SARASVATHY, CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY, THE ACADEMY OF MANAGEMENT REVIEW, VOL. 26, NO. 2 (APR., 2001), PP. 243-263",2001.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,10.5465/AMR.2001.4378020,True,25,50,226,causation; toward; shift; inevitability; effectuation; economic; contingency; theoretical; saras; sarasvathy
root_10,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",8091780732,Marketing and entrepreneurship in SMEs : an innovative approach,"The primary thrust of the text is on adapting traditional marketing tools appropriate for various situations in Small and Medium Enterprises. To that end, the text approaches both the concepts of marketing and entrepreneurship at the same time and uses accepted and established marketing theories as a foundation of the text.",1995.0,,MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH,,True,33,26,246,text; marketing; entrepreneurship; thrust; adapting; tools; various; situations; end; uses
root_11,"READ S, 2009, J MARKETING",3912055722,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,"HOW DO PEOPLE APPROACH MARKETING IN THE FACE OF UNCERTAINTY, WHEN THE PRODUCT, THE MARKET, AND THE TRADITIONAL DETAILS INVOLVED IN MARKET RESEARCH ARE UNKNOWABLE EX ANTE? THE AUTHORS USE PROTOCOL ANALYSIS TO EVALUATE HOW 27 EXPERT ENTREPRENEURS APPROACH SUCH A PROBLEM COMPARED WITH 37 MANAGERS WITH LITTLE ENTREPRENEURIAL EXPERTISE (ALL 64 PARTICIPANTS ARE ASKED TO THINK ALOUD AS THEY MAKE MARKETING DECISIONS IN EXACTLY THE SAME UNPREDICTABLE SITUATION). THE HYPOTHESES ARE DRAWN FROM LITERATURE IN COGNITIVE SCIENCE ON (1) EXPERTISE IN GENERAL AND (2) ENTREPRENEURIAL EXPERTISE IN PARTICULAR. THE RESULTS SHOW SIGNIFICANT DIFFERENCES IN HEURISTICS USED BY THE TWO GROUPS. WHILE THOSE WITHOUT ENTREPRENEURIAL EXPERTISE RELY PRIMARILY ON PREDICTIVE TECHNIQUES, EXPERT ENTREPRENEURS TEND TO INVERT THESE. IN PARTICULAR, THEY USE AN EFFECTUAL OR NONPREDICTIVE LOGIC TO TACKLE UNCERTAIN MARKET ELEMENTS AND TO COCONSTRUCT NOVEL MARKETS WITH COMMITTED STAKEHOLDERS.",2009.0,JOURNAL OF MARKETING,J MARKETING,10.1509/JMKG.73.3.001,True,89,25,206,expertise; approach; uncertainty; logic; effectual; expert; particular; market; use; entrepreneurs
root_12,"BJERKE B, 2002, ENTREPRENEURIAL MARK",3634812307,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,"The aim of this book is to provide greater insights into the marketing entrepreneurship interface by demonstrating the importance of both disciplines in the new economic era. Moreover, the book has been designed for students, scholars and practitioners of marketing and entrepreneurship. The emphasis is firmly placed on the small firm operating within the new economic era and consequently, the book argues that an understanding of entrepreneurial marketing is essential in order to achieve small firm growth in this era.",2002.0,,ENTREPRENEURIAL MARK,,True,53,43,223,era; book; economic; new; small; marketing; growth; firm; entrepreneurship; greater
