root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19
root_01,1.0,0.979317,0.979222,0.147367,0.184994,0.068862,0.099094,0.218789,0.974048,0.666623,0.712182,0.129947,0.093904,0.323662,0.444679,0.880219,0.764161,0.985721,0.135501
root_02,0.979317,1.0,0.930503,0.202857,0.164733,0.057731,0.079122,0.308492,0.988758,0.662361,0.585232,0.209435,0.073772,0.267287,0.492923,0.774512,0.685283,0.965626,0.156511
root_03,0.979222,0.930503,1.0,0.241746,0.335613,0.078654,0.120018,0.272115,0.922553,0.754739,0.819207,0.202218,0.112877,0.37382,0.519552,0.950859,0.874536,0.988473,0.193447
root_04,0.147367,0.202857,0.241746,1.0,0.930044,0.026584,0.058446,0.966228,0.148109,0.815039,0.228502,0.992168,0.042759,0.122549,0.950978,0.186445,0.55598,0.29738,0.555831
root_05,0.184994,0.164733,0.335613,0.930044,1.0,0.056617,0.105984,0.831474,0.120519,0.84737,0.473535,0.87686,0.09009,0.238647,0.890829,0.385951,0.718925,0.338867,0.542251
root_06,0.068862,0.057731,0.078654,0.026584,0.056617,1.0,0.997833,0.164709,0.195503,0.041722,0.392265,0.016073,0.99845,0.936016,0.026712,0.052665,0.060085,0.021901,0.845771
root_07,0.099094,0.079122,0.120018,0.058446,0.105984,0.997833,1.0,0.186297,0.214925,0.090936,0.446417,0.040974,0.999867,0.955352,0.063921,0.105059,0.119391,0.058669,0.860795
root_08,0.218789,0.308492,0.272115,0.966228,0.831474,0.164709,0.186297,1.0,0.273082,0.79226,0.196109,0.981576,0.171759,0.21784,0.944653,0.148555,0.494976,0.344414,0.65332
root_09,0.974048,0.988758,0.922553,0.148109,0.120519,0.195503,0.214925,0.273082,1.0,0.618258,0.626559,0.152912,0.210573,0.390579,0.438951,0.768815,0.660063,0.945598,0.241838
root_10,0.666623,0.662361,0.754739,0.815039,0.84737,0.041722,0.090936,0.79226,0.618258,1.0,0.663917,0.778282,0.075949,0.295585,0.941692,0.710256,0.91479,0.777739,0.468896
root_11,0.712182,0.585232,0.819207,0.228502,0.473535,0.392265,0.446417,0.196109,0.626559,0.663917,1.0,0.138156,0.439276,0.690617,0.40885,0.91368,0.878593,0.733574,0.445897
root_12,0.129947,0.209435,0.202218,0.992168,0.87686,0.016073,0.040974,0.981576,0.152912,0.778282,0.138156,1.0,0.025853,0.079699,0.941361,0.112728,0.48301,0.273875,0.543325
root_13,0.093904,0.073772,0.112877,0.042759,0.09009,0.99845,0.999867,0.171759,0.210573,0.075949,0.439276,0.025853,1.0,0.952896,0.048156,0.09806,0.107131,0.051014,0.852946
root_14,0.323662,0.267287,0.37382,0.122549,0.238647,0.936016,0.955352,0.21784,0.390579,0.295585,0.690617,0.079699,0.952896,1.0,0.189387,0.389212,0.387756,0.29726,0.842919
root_15,0.444679,0.492923,0.519552,0.950978,0.890829,0.026712,0.063921,0.944653,0.438951,0.941692,0.40885,0.941361,0.048156,0.189387,1.0,0.432549,0.730879,0.575863,0.529716
root_16,0.880219,0.774512,0.950859,0.186445,0.385951,0.052665,0.105059,0.148555,0.768815,0.710256,0.91368,0.112728,0.09806,0.389212,0.432549,1.0,0.916795,0.899656,0.141387
root_17,0.764161,0.685283,0.874536,0.55598,0.718925,0.060085,0.119391,0.494976,0.660063,0.91479,0.878593,0.48301,0.107131,0.387756,0.730879,0.916795,1.0,0.844592,0.344885
root_18,0.985721,0.965626,0.988473,0.29738,0.338867,0.021901,0.058669,0.344414,0.945598,0.777739,0.733574,0.273875,0.051014,0.29726,0.575863,0.899656,0.844592,1.0,0.176369
root_19,0.135501,0.156511,0.193447,0.555831,0.542251,0.845771,0.860795,0.65332,0.241838,0.468896,0.445897,0.543325,0.852946,0.842919,0.529716,0.141387,0.344885,0.176369,1.0
