root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19
root_01,1.0,0.983501,0.975834,0.979495,0.979495,0.981376,0.977638,0.979502,0.913208,0.937267,0.871864,0.898991,0.925259,0.890716,0.777924,0.815001,0.787368,0.659867,0.364474
root_02,0.983501,1.0,0.985293,0.974118,0.970371,0.97225,0.968546,0.970392,0.908195,0.943677,0.867078,0.898101,0.916231,0.881725,0.773654,0.815005,0.783045,0.656245,0.362473
root_03,0.975834,0.985293,1.0,0.984855,0.984855,0.986762,0.979222,0.981089,0.921751,0.957762,0.880021,0.911506,0.92189,0.894886,0.780414,0.822625,0.794733,0.66604,0.367884
root_04,0.979495,0.974118,0.984855,1.0,0.996154,0.994244,0.990456,0.992344,0.9282,0.956888,0.885796,0.917811,0.932466,0.905153,0.789367,0.827466,0.803851,0.673681,0.372104
root_05,0.979495,0.970371,0.984855,0.996154,1.0,0.998082,0.99428,0.992344,0.9282,0.956888,0.885796,0.917811,0.932466,0.909363,0.789367,0.827466,0.803851,0.673681,0.372104
root_06,0.981376,0.97225,0.986762,0.994244,0.998082,1.0,0.992374,0.990442,0.930538,0.955053,0.88841,0.916051,0.934725,0.907619,0.787853,0.825879,0.80231,0.672389,0.371391
root_07,0.977638,0.968546,0.979222,0.990456,0.99428,0.992374,1.0,0.990478,0.922891,0.951415,0.880729,0.912561,0.931164,0.908347,0.784852,0.822733,0.799253,0.669828,0.369976
root_08,0.979502,0.970392,0.981089,0.992344,0.992344,0.990442,0.990478,1.0,0.924651,0.953229,0.882408,0.914301,0.924862,0.901691,0.786348,0.824302,0.800777,0.671105,0.370681
root_09,0.913208,0.908195,0.921751,0.9282,0.9282,0.930538,0.922891,0.924651,1.0,0.9288,0.954727,0.930978,0.900136,0.903121,0.836276,0.887529,0.857098,0.722581,0.399114
root_10,0.937267,0.943677,0.957762,0.956888,0.956888,0.955053,0.951415,0.953229,0.9288,1.0,0.901768,0.952105,0.937793,0.930553,0.811518,0.855412,0.831298,0.692586,0.382546
root_11,0.871864,0.867078,0.880021,0.885796,0.885796,0.88841,0.880729,0.882408,0.954727,0.901768,1.0,0.914471,0.888164,0.88919,0.85417,0.929615,0.88171,0.756846,0.41804
root_12,0.898991,0.898101,0.911506,0.917811,0.917811,0.916051,0.912561,0.914301,0.930978,0.952105,0.914471,1.0,0.919304,0.918267,0.852341,0.893479,0.873116,0.727426,0.40179
root_13,0.925259,0.916231,0.92189,0.932466,0.932466,0.934725,0.931164,0.924862,0.900136,0.937793,0.888164,0.919304,1.0,0.96299,0.832066,0.843152,0.847333,0.710122,0.392232
root_14,0.890716,0.881725,0.894886,0.905153,0.909363,0.907619,0.908347,0.901691,0.903121,0.930553,0.88919,0.918267,0.96299,1.0,0.853442,0.86046,0.879898,0.737414,0.407307
root_15,0.777924,0.773654,0.780414,0.789367,0.789367,0.787853,0.784852,0.786348,0.836276,0.811518,0.85417,0.852341,0.832066,0.853442,1.0,0.908745,0.910327,0.833864,0.468521
root_16,0.815001,0.815005,0.822625,0.827466,0.827466,0.825879,0.822733,0.824302,0.887529,0.855412,0.929615,0.893479,0.843152,0.86046,0.908745,1.0,0.92099,0.805203,0.44475
root_17,0.787368,0.783045,0.794733,0.803851,0.803851,0.80231,0.799253,0.800777,0.857098,0.831298,0.88171,0.873116,0.847333,0.879898,0.910327,0.92099,1.0,0.826077,0.460179
root_18,0.659867,0.656245,0.66604,0.673681,0.673681,0.672389,0.669828,0.671105,0.722581,0.692586,0.756846,0.727426,0.710122,0.737414,0.833864,0.805203,0.826077,1.0,0.521659
root_19,0.364474,0.362473,0.367884,0.372104,0.372104,0.371391,0.369976,0.370681,0.399114,0.382546,0.41804,0.40179,0.392232,0.407307,0.468521,0.44475,0.460179,0.521659,1.0
