SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"SULAIMAN MABA, 2024, DISCOV SUSTAIN",2024.0,ENTREPRENEURIAL MARKETING AND PERFORMANCE: CONTINGENT ROLE OF MARKET TURBULENCE,DISCOVER SUSTAINABILITY,DISCOV SUSTAIN,10.1007/s43621-024-00710-8,leaf,True,26.0,0.0,3.0,8.666666666666666,0.7188353857113876,0.0,0.7188353857113876,0.818769916077174,1.0,8,0.5737926366822146,0.21163558827275694,0.3647990897811549,0.7171071516764498,external_fruit_underabsorbed
"SHIBLI R, 2021",2021.0,MEDIATING ROLE OF ENTREPRENEURIAL MARKETING BETWEEN GREEN MARKETING AND GREEN MANAGEMENT IN PREDICTING SUSTAINABLE PERFORMANCE IN MALAYSIAS ORGANIC AGRICULTURE SECTOR,AGBIOFORUM,,,,False,55.0,0.0,6.0,9.166666666666666,0.8779455273044412,0.0,0.8779455273044412,1.0,,0,0.0,0.16444772182240963,0.2596014371434995,0.6614679667162288,external_signal_not_matched_in_graph
"KAKEESH DF, 2025, J MARK ANAL",2025.0,ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE IN SMES: THE MEDIATING ROLE OF COMPETITIVE AGGRESSIVENESS,JOURNAL OF MARKETING ANALYTICS,J MARK ANAL,10.1057/s41270-024-00310-5,leaf,True,8.0,0.0,2.0,4.0,0.47922359047425844,0.0,0.47922359047425844,0.545846610718116,1.0,18,0.658400028714776,0.20026860106315172,0.33945824557767806,0.5548111904213547,external_fruit_underabsorbed
"SARI D, 2023, COGENT BUS MANAG",2023.0,THE ROLE OF ENTREPRENEURIAL MARKETING & INNOVATION CAPABILITY IN THE PERFORMANCE OF SMES DURING COVID-19 PANDEMIC: EVIDENCE OF MSMES IN WEST JAVA,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2023.2194091,,True,37.0,3.0,4.0,9.25,0.7933722925295681,0.5,0.2933722925295681,0.334157739182646,1.0,6,0.5453362012803806,0.22675014512100844,0.398494529323172,0.5523847158844426,fruit_candidate
"HANAYSHA JR, 2022, SUSTAINABILITY-BASEL",2022.0,AN EXAMINATION OF ENTREPRENEURIAL MARKETING DIMENSIONS AND FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su141811444,leaf,True,11.0,0.0,5.0,2.2,0.5419682170806821,0.0,0.5419682170806821,0.6173141729472542,1.0,9,0.5857226509206714,0.3434340535745252,0.6586222738740531,0.5422630417748703,external_fruit_underabsorbed
"BACHMANN JT, 2021, IND MARKET MANAG",2021.0,EFFECTS OF ENTREPRENEURIAL MARKETING ON NEW VENTURES' EXPLOITATIVE AND EXPLORATORY INNOVATION: THE MODERATING ROLE OF COMPETITIVE INTENSITY AND FIRM SIZE,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,10.1016/j.indmarman.2020.10.002,,True,97.0,15.0,6.0,16.166666666666668,1.0,1.0,0.0,0.0,1.0,20,0.669732519621488,0.29185591323564436,0.5436372215878866,0.5383102260830863,already_absorbing_into_tree
"BUCCIERI D, 2023, J STRATEG MARK",2023.0,INNOVATION AND DIFFERENTIATION OF EMERGING MARKET INTERNATIONAL NEW VENTURES THE ROLE OF ENTREPRENEURIAL MARKETING,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2021.1952293,,True,45.0,8.0,4.0,11.25,0.8350422144322872,0.7924812503605781,0.04256096407170906,0.04847790978830329,1.0,16,0.6458059046042244,0.2910678481369886,0.5418803589716994,0.5087735658019733,already_absorbing_into_tree
"ALQAHTANI N, 2024, J SMALL BUS MANAGE",2024.0,"COMPARING THE MODERATED IMPACT OF ENTREPRENEURIAL ORIENTATION, MARKET ORIENTATION, AND ENTREPRENEURIAL MARKETING ON FIRM PERFORMANCE",JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,10.1080/00472778.2023.2272267,,True,25.0,5.0,3.0,8.333333333333334,0.7106040671342294,0.646240625180289,0.06436344195394039,0.07331142986918068,1.0,19,0.6642079893968228,0.3751449124057566,0.729316462086181,0.5064113719308102,already_absorbing_into_tree
"SUANDI E, 2023, J FINANC SERV MARK",2023.0,"EVALUATING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND ISLAMIC BANKS PERFORMANCE",JOURNAL OF FINANCIAL SERVICES MARKETING,J FINANC SERV MARK,10.1057/s41264-022-00169-6,leaf,True,10.0,0.0,4.0,2.5,0.5229906829118118,0.0,0.5229906829118118,0.5956983282522683,1.0,8,0.5737926366822146,0.15129399991623374,0.2302773593228964,0.5005092184360527,external_fruit_underabsorbed
"TOLOSSA A, 2024, J INNOV ENTREPRENEURSHIP",2024.0,UNVEILING THE NEXUS: THE CRUCIAL ROLE OF COMPETITIVE ADVANTAGE IN BRIDGING ENTREPRENEURIAL MARKETING PRACTICES AND SUSTAINABLE FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,JOURNAL OF INNOVATION AND ENTREPRENEURSHIP,J INNOV ENTREPRENEURSHIP,10.1186/S13731-024-00398-0,leaf,True,7.0,0.0,3.0,2.3333333333333335,0.4535346327653293,0.0,0.4535346327653293,0.5165863013822942,1.0,7,0.5604560154284541,0.2726417464934453,0.5008023703704721,0.49119859406487887,external_fruit_underabsorbed
