SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"SULAIMAN MABA, 2024, DISCOV SUSTAIN",2024.0,ENTREPRENEURIAL MARKETING AND PERFORMANCE: CONTINGENT ROLE OF MARKET TURBULENCE,DISCOVER SUSTAINABILITY,DISCOV SUSTAIN,10.1007/s43621-024-00710-8,leaf,True,26.0,0.0,3.0,8.666666666666666,0.7188353857113876,0.0,0.7188353857113876,0.818769916077174,1.0,8,0.5737926366822146,0.21163558827275694,0.3647990897811549,0.7171071516764498,external_fruit_underabsorbed
"KAKEESH DF, 2025, J MARK ANAL",2025.0,ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE IN SMES: THE MEDIATING ROLE OF COMPETITIVE AGGRESSIVENESS,JOURNAL OF MARKETING ANALYTICS,J MARK ANAL,10.1057/s41270-024-00310-5,leaf,True,8.0,0.0,2.0,4.0,0.47922359047425844,0.0,0.47922359047425844,0.545846610718116,1.0,18,0.658400028714776,0.20026860106315172,0.33945824557767806,0.5548111904213547,external_fruit_underabsorbed
"HANAYSHA JR, 2022, SUSTAINABILITY-BASEL",2022.0,AN EXAMINATION OF ENTREPRENEURIAL MARKETING DIMENSIONS AND FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su141811444,leaf,True,11.0,0.0,5.0,2.2,0.5419682170806821,0.0,0.5419682170806821,0.6173141729472542,1.0,9,0.5857226509206714,0.3434340535745252,0.6586222738740531,0.5422630417748703,external_fruit_underabsorbed
"SUANDI E, 2023, J FINANC SERV MARK",2023.0,"EVALUATING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND ISLAMIC BANKS PERFORMANCE",JOURNAL OF FINANCIAL SERVICES MARKETING,J FINANC SERV MARK,10.1057/s41264-022-00169-6,leaf,True,10.0,0.0,4.0,2.5,0.5229906829118118,0.0,0.5229906829118118,0.5956983282522683,1.0,8,0.5737926366822146,0.15129399991623374,0.2302773593228964,0.5005092184360527,external_fruit_underabsorbed
"TOLOSSA A, 2024, J INNOV ENTREPRENEURSHIP",2024.0,UNVEILING THE NEXUS: THE CRUCIAL ROLE OF COMPETITIVE ADVANTAGE IN BRIDGING ENTREPRENEURIAL MARKETING PRACTICES AND SUSTAINABLE FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,JOURNAL OF INNOVATION AND ENTREPRENEURSHIP,J INNOV ENTREPRENEURSHIP,10.1186/S13731-024-00398-0,leaf,True,7.0,0.0,3.0,2.3333333333333335,0.4535346327653293,0.0,0.4535346327653293,0.5165863013822942,1.0,7,0.5604560154284541,0.2726417464934453,0.5008023703704721,0.49119859406487887,external_fruit_underabsorbed
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",2025.0,UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,8,0.5737926366822146,0.306085669728068,0.5753601430338802,0.4823146406224617,external_fruit_underabsorbed
"TOLOSSA AT, 2024, BUS STRATEGY DEV",2024.0,LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,leaf,True,6.0,0.0,3.0,2.0,0.42441089453911174,0.0,0.42441089453911174,0.48341369861770556,1.0,11,0.6063669952934101,0.14893838508735288,0.22502590022636218,0.44822172401873916,external_fruit_underabsorbed
"ALFORD P, 2025, INT J ENTREP BEHAV R",2025.0,DIGITAL ENTREPRENEURIAL MARKETING BRICOLAGE: SHAPING TECHNOLOGY-IN-PRACTICE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2024-0746,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,1,0.4034853384761514,0.2819541431190773,0.5215628399390237,0.4428734506717634,external_fruit_underabsorbed
"WIJEKOON S, 2024, EUR J MARKETING",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON NEW VENTURE BRAND IMAGE AND PERFORMANCE: A CAPABILITY PERSPECTIVE,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,10.1108/EJM-07-2022-0568,leaf,True,5.0,0.0,3.0,1.6666666666666667,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,13,0.6238215397565321,0.1465834314390569,0.21977591512411354,0.42328404527691055,external_fruit_underabsorbed
"MARIN A, 2023, J MARKET EDUC",2023.0,"FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA",JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,leaf,True,7.0,0.0,4.0,1.75,0.4535346327653293,0.0,0.4535346327653293,0.5165863013822942,1.0,4,0.50723731244452,0.09530309969844127,0.10545477853978912,0.41733705372599045,external_fruit_underabsorbed
