leaf_like_rank,node_id,title,year,metadata_year,year_from_id,effective_year,year_source,journal,source_title,doi,ToS,sap_rank,internal_indegree,internal_outdegree,has_article_metadata,abstract,label,author,author_full_names,orcid,country,__doi_norm
1,"ABBAS A, 2026, J SMALL BUS ENTREP",,2026.0,,2026,2026.0,node_id,,,,,0,0,109,false,,"ABBAS A, 2026, J SMALL BUS ENTREP",,,,,
2,"RAHIMI A, 2026, J HOSP LEIS SPORT TO",ENTREPRENEURIAL MARKETING EDUCATION AND INTENTIONS IN SPORT: INVESTIGATING THE MODERATING EFFECT OF SPORTING CAPITAL,2026.0,2026.0,2026,2026.0,metadata,JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,J HOSP LEIS SPORT TO,10.1016/j.jhlste.2026.100598,leaf,5861782232,0,34,true,"AS SPORT INCREASINGLY INTERSECTS WITH ENTREPRENEURSHIP, UNDERSTANDING HOW SPORT STUDENTS TRANSLATE ENTREPRENEURIAL LEARNING INTO INTENTION BECOMES A PRESSING ACADEMIC AND PRACTICAL CONCERN. THIS STUDY EXPLORES THE EXTENT TO WHICH ENTREPRENEURIAL MARKETING EDUCATION (EME) SHAPES ENTREPRENEURIAL INTENTIONS (EI) AMONG SPORT SCIENCE STUDENTS, FOCUSING ON TWO KEY COGNITIVE PREDICTORS: PERCEIVED DESIRABILITY (PD) AND PERCEIVED FEASIBILITY (PF). DRAWING ON A NATIONAL SAMPLE OF 435 UNDERGRADUATES ACROSS IRANIAN UNIVERSITIES, STRUCTURAL EQUATION MODELING REVEALED THAT EME SIGNIFICANTLY ENHANCES BOTH PD AND PF-THOUGH NOT ALL PEDAGOGICAL ELEMENTS CONTRIBUTED EQUALLY. WHAT ELEVATES THIS RESEARCH IS ITS REVELATION OF SPORTING CAPITAL (SC) AS A DECISIVE MODERATING FORCE. CONCEPTUALIZED AS A MULTIDIMENSIONAL BLEND OF PHYSICAL ABILITY, PSYCHOLOGICAL RESILIENCE, AND SOCIAL CONNECTIVITY, SC NOT ONLY AMPLIFIES THE EFFECT OF EME, BUT DOES SO MORE POWERFULLY AMONG FEMALE STUDENTS-WHERE IT APPEARS TO COUNTERBALANCE STRUCTURAL AND CULTURAL BARRIERS THROUGH EMBODIED CONFIDENCE AND SOCIAL REINFORCEMENT. THESE FINDINGS REFRAME ENTREPRENEURSHIP EDUCATION AS A LIVED, CONTEXT-SENSITIVE PROCESS SHAPED NOT ONLY BY COGNITIVE FACTORS BUT BY SPORT-ROOTED EXPERIENCES. THEORETICALLY, THIS STUDY BRIDGES ENTREPRENEURIAL COGNITION WITH EMBODIED CAPITAL; PRACTICALLY, IT CALLS FOR LEARNING ENVIRONMENTS THAT ACTIVATE THE PHYSICAL, EMOTIONAL, AND RELATIONAL STRENGTHS OF SPORT STUDENTS IN PURSUIT OF ENTREPRENEURIAL FUTURES.","RAHIMI A, 2026, J HOSP LEIS SPORT TO",RAHIMI A;GANDOMANI RA;SHAHBAZPOUR L;KHANYOURDI MN;HASANZADEH N,AMIR RAHIMI; ROHOLLAH ASGARI GANDOMANI; LEILA SHAHBAZPOUR; MEYSAM NOORI KHANYOURDI; NIMA HASANZADEH,https://orcid.org/0000-0002-4851-150X; NO ORCID; NO ORCID; NO ORCID; NO ORCID,IRAN; IRAN; IRAN; IRAN,10.1016/j.jhlste.2026.100598
3,"RAHIMI A, 2026",,2026.0,,2026,2026.0,node_id,,,,,0,0,28,false,,"RAHIMI A, 2026",,,,,
4,"OLAN F, 2026, INFORM SYST FRONT",SOCIAL ENTREPRENEURIAL MARKETING AND INNOVATION IN B2B SERVICES: BUILDING RESILIENCE WITH EXPLAINABLE ARTIFICIAL INTELLIGENCE,2026.0,2026.0,2026,2026.0,metadata,INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,10.1007/s10796-025-10583-5,,0,0,16,true,"EXPLAINABLE ARTIFICIAL INTELLIGENCE (XAI) AND OTHER DIGITAL TECHNOLOGIES ARE ALTERING THE NATURE OF SOCIAL ENTREPRENEURSHIP, MARKETING, AND OTHER SERVICE ACTIVITIES. THE STRUCTURES AND STRATEGIES OF ENTREPRENEURS UNDERGO RADICAL CHANGE AS A RESULT OF THE IMPACT OF XAI ON MARKETING AND INNOVATION. DESPITE THE INCREASED INTEREST IN BUSINESS TO BUSINESS (B2B) LITERATURE, THERE ARE LIMITATIONS ON HOW AND WHAT CIRCUMSTANCES THE ACTIVITIES OF B2B MARKETING ON SOCIAL ENTREPRENEURSHIP. THEREFORE, THIS STUDY OUTLINES HOW XAI WILL IMPACT B2B SERVICES BY BUILDING RESILIENCE DURING AND AFTER CRISIS EVENTS SUCH AS THE COVID-19 PANDEMIC. TO DEVELOP AN IN-DEPTH UNDERSTANDING ON THE THEORIES OF SOCIAL ENTREPRENEURSHIP, B2B MARKETING, AND EMERGING TECHNOLOGIES, THIS STUDY SET APART AND CONCEPTUALIZE RELEVANT FACTORS AND LINKAGES. THE RESULT SHOWS THAT BASED ON A SURVEY OF 295 SAMPLES OF B2B SERVICES ENTREPRENEURIAL BUSINESSES, XAI ENHANCES THE ESTABLISHMENT OF A SUSTAINABLE RESILIENCE FOR B2B MARKETING ACTIVITIES AND CONTRIBUTE TO BUILDING SOCIAL ENTREPRENEURIAL STRATEGIES FOR B2B MARKETING INNOVATION.","OLAN F, 2026, INFORM SYST FRONT",OLAN F;PAPADOPOULOS T;SPANAKI K;JAYAWICKRAMA U,FEMI OLAN; THOMAS PAPADOPOULOS; KONSTANTINA SPANAKI; UCHITHA JAYAWICKRAMA,https://orcid.org/0000-0002-7377-9882; https://orcid.org/0000-0002-6692-6119; https://orcid.org/0000-0001-6332-1731; https://orcid.org/0000-0002-7159-6759,UNITED KINGDOM; UNITED KINGDOM; FRANCE; UNITED KINGDOM,10.1007/s10796-025-10583-5
5,"YANG M, 2025, INT BUS REV",TURNING DECISION-MAKING LOGIC INTO INTERNATIONAL PERFORMANCE AMONG SMES: REVEALING THE IMPORTANCE OF INTERNATIONAL ENTREPRENEURIAL MARKETING,2025.0,2025.0,2025,2025.0,metadata,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/j.ibusrev.2025.102457,leaf,26968632791,0,97,true,"THE INTERNATIONAL BUSINESS FIELD LACKS RESEARCH ON HOW DECISION-MAKING LOGICS LEAD TO SMES' INTERNATIONAL PERFORMANCE AND WHAT MECHANISMS ARE INVOLVED. THIS STUDY EXAMINES THE RELATIONSHIP BETWEEN DECISION-MAKING LOGICS (EFFECTUATION AND CAUSATION) AND INTERNATIONAL PERFORMANCE OF SMES AND CONTRIBUTES BY HIGHLIGHTING THE CRUCIAL ROLE OF INTERNATIONAL ENTREPRENEURIAL MARKETING. WE USED STRUCTURAL EQUATION PARTIAL LEAST SQUARES IN THE EMPIRICAL STUDY WITH A CROSS-COUNTRY SAMPLE OF 489 INTERNATIONALIZING SMES FROM CHINA, FINLAND, AND NEW ZEALAND. THE RESULTS REVEAL THAT INTERNATIONAL ENTREPRENEURIAL MARKETING FULLY MEDIATES THE POSITIVE EFFECTUATION-PERFORMANCE RELATIONSHIP AND THE MEDIATION EFFECT IS STRONGER AMONG SMES FROM DEVELOPING MARKETS AND OFFERING SERVICES. WE SHOW THAT INTERNATIONAL ENTREPRENEURIAL MARKETING PARTIALLY MEDIATES THE POSITIVE CAUSATION-PERFORMANCE RELATIONSHIP AND THE MEDIATION EFFECT IS STRONGER AMONG SMES FROM DEVELOPED MARKETS AND AMONG THOSE THAT OFFER PRODUCTS.","YANG M, 2025, INT BUS REV",YANG M;GABRIELSSON P;GABRIELSSON M;PYNNONEN S,MAN YANG; PETER GABRIELSSON; MIKA GABRIELSSON; SEPPO PYNNONEN,https://orcid.org/0000-0002-7601-6733; https://orcid.org/0000-0002-2497-7962; https://orcid.org/0000-0002-0633-6918; NO ORCID,FINLAND; FINLAND; FINLAND; FINLAND,10.1016/j.ibusrev.2025.102457
6,"CHOOSET N, 2025, COGENT BUS MANAG",DEVELOPING ENTREPRENEURIAL MARKETING DIMENSIONS FOR SMES IN THE DIGITAL ERA: A GROUNDED THEORY APPROACH,2025.0,2025.0,2025,2025.0,metadata,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2025.2480748,leaf,133921114566,0,95,true,"CONVENTIONAL ENTREPRENEURIAL MARKETING PRINCIPLES, FORMULATED IN DEVELOPED NATIONS, MAY INSUFFICIENTLY FACE THE DIGITAL-ERA CHALLENGES ENCOUNTERED BY SMALL AND MEDIUM-SIZED ENTERPRISES (SMES) IN DEVELOPING COUNTRIES. THIS RESEARCH SEEKS TO ESTABLISH A NOVEL CONCEPTUAL FRAMEWORK THAT IS MORE APPROPRIATE FOR THE CHALLENGES OF THE DIGITAL ERA, EMPLOYING A QUALITATIVE STUDY GROUNDED IN THEORY METHODOLOGY. COMPREHENSIVE INTERVIEWS WERE PERFORMED WITH 30 ENTREPRENEURS FROM FIVE REGIONS OF THAILAND, REPRESENTING MICRO, SMALL, AND MEDIUM-SIZED ENTERPRISES IN THE AGRICULTURAL, SERVICE, MANUFACTURING, AND TRADING SECTORS. THE RESEARCH PRODUCED THREE NOTABLE FINDINGS: (1) THE EXTENSION OF ENTREPRENEURIAL MARKETING COMPONENTS FROM TWO CONVENTIONAL DIMENSIONS (ENTREPRENEURIAL ORIENTATION AND MARKET ORIENTATION) TO FOUR DIMENSIONS BY INTEGRATING NETWORKING CAPABILITIES AND DIGITAL LITERACY; (2) THE ESTABLISHMENT OF NEW METRICS THAT ILLUSTRATE THE AMALGAMATION OF TRADITIONAL METHODOLOGIES WITH DIGITAL TECHNOLOGIES, INCLUDING THE USE OF ONLINE DATA FOR IDENTIFYING BUSINESS OPPORTUNITIES, FOSTERING CUSTOMER RELATIONSHIPS THROUGH ONLINE COMMUNITIES, AND CREATING PRODUCTS INFORMED BY DIGITAL DATA ANALYTICS; AND (3) THE FORMULATION OF SPECIFIC PRACTICAL GUIDELINES AIMED AT IMPROVING THE MARKETING CAPABILITIES OF SMES, ESPECIALLY IN CULTIVATING COLLABORATIVE NETWORKS AND ENHANCING DIGITAL SKILLS. THIS RESEARCH EXPANDS THE THEORETICAL FRAMEWORK OF ENTREPRENEURIAL MARKETING AND OFFERS PRACTICAL GUIDELINES FOR THE DEVELOPMENT OF SMES IN DEVELOPING NATIONS.","CHOOSET N, 2025, COGENT BUS MANAG",CHOOSET N;SUKHABOT S,NOPPADON CHOOSET; SASIWEMON SUKHABOT,https://orcid.org/0009-0005-9924-579X; NO ORCID,THAILAND; THAILAND,10.1080/23311975.2025.2480748
7,"BREIT L, 2025, J RES MARK ENTREP",,2025.0,,2025,2025.0,node_id,,,,,0,0,87,false,,"BREIT L, 2025, J RES MARK ENTREP",,,,,
8,"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,2025.0,2025.0,2025,2025.0,metadata,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,leaf,4211908731,0,61,true,"PURPOSEA QUESTION REMAINS UNRESOLVED IN EXISTING CROSS-DISCIPLINARY RESEARCH AT THE MARKETING/ENTREPRENEURSHIP INTERFACE (MEI). THIS FEATURES CIRCUMSTANCES WHEN EMPLOYING A COMBINATION OF MARKET-ORIENTED AND ENTREPRENEURIALLY-ORIENTED ACTIVITIES, KNOWN AS ENTREPRENEURIAL MARKETING (EM) BEHAVIOR, IS LIKELY TO LEAD TO POSITIVE PERFORMANCE OUTCOMES. EARLIER MIXED FINDINGS PROVIDE THE NEED TO UNPACK THE NUANCES OF EM PRACTICES, IN TERMS OF THEIR BOUNDARY CONDITIONS, REGARDING CIRCUMSTANCES WHERE THIS BEHAVIOR DOES OR DOES NOT LEAD TO PERFORMANCE-ENHANCING OUTCOMES. CONSEQUENTLY, THE PURPOSE OF THIS STUDY IS TO EXAMINE THE COMPLEXITIES OF THE ASSOCIATION BETWEEN EM ACTIVITIES AND SMALL FIRM PERFORMANCE BY ASSESSING QUADRATIC AND MODERATING EFFECTS.DESIGN/METHODOLOGY/APPROACHTHIS STUDY WAS UNDERPINNED BY RESOURCE-BASED THEORY (RBT). SURVEY RESPONSES WERE COLLECTED FROM 214 SMALLER-SIZED COMPANIES IN THE UNITED KINGDOM. THE STATISTICAL DATA PASSED ALL MAJOR CHECKS FOR RELIABILITY, DIFFERENT FORMS OF VALIDITY, COMMON METHOD VARIANCE AND ENDOGENEITY BIAS.FINDINGSEM ACTIVITIES HAD A QUADRATIC CONNECTION WITH SMALL FIRM PERFORMANCE, WITH THIS RELATIONSHIP BEING ENHANCED (IN TERMS OF A POSITIVE TWO-WAY INTERACTION EFFECT) BY MARKET DYNAMISM (A COUNTER-INTUITIVE RESULT REGARDING ENVIRONMENTAL CONDITIONS). SURPRISINGLY, THROUGH A POST-HOC TEST, COOPETITION (COOPERATION AMONG COMPETITORS TO LEVERAGE ASSETS AND OVERCOME RESOURCE CONSTRAINTS) DID NOT PLAY ANY INFLUENTIAL PART IN HELPING OWNER-MANAGERS TO OVERCOME THE POTENTIAL DOWNSIDES OF EM PRACTICES, LIKE THE TIME AND COST IMPLICATIONS OF IDENTIFYING AND EXPLOITING OPPORTUNITIES (I.E., A NON-SIGNIFICANT THREE-WAY INTERACTION EFFECT).ORIGINALITY/VALUEUNIQUE INSIGHTS OUTLINE HOW DECISION-MAKERS IN SMALLER-SIZED ORGANIZATIONS CAN HARNESS THE POTENTIAL BENEFITS, AND MINIMISE THE LIKELY DRAWBACKS, OF EMPLOYING EM ACTIVITIES. HOWEVER, OWNER-MANAGERS SHOULD BE CAUTIOUS WHEN IMPLEMENTING THESE ORGANIZATION-WIDE PRACTICES, SINCE THEY ARE LIKELY TO ENHANCE PERFORMANCE, BUT ONLY UP TO A FIXED POINT. INDEED, EXCESSIVE FORMS OF EM ACTIVITIES CAN WEAKEN SMALL FIRMS' PERFORMANCE. A COUNTER-INTUITIVE POSITIVE MODERATION EFFECT REGARDING MARKET DYNAMISM CHALLENGES CERTAIN EARLIER FINDINGS. SPECIFICALLY, IN SOME DYNAMIC MARKET CONDITIONS, EM ACTIVITIES COULD BE PERFORMANCE-ENHANCING, SINCE CERTAIN ENVIRONMENTAL-LEVEL FORCES MIGHT ASSIST OWNER-MANAGERS TO AMPLIFY THE MERITS OF BEHAVIOR AT THE MEI WHEN IMPLEMENTED EFFECTIVELY.","ALIAKBARI A, 2025, INT J ENTREP BEHAV R",ALIAKBARI A;CRICK JM;CHEN WF;CRICK D,ALIASGHAR ALIAKBARI; JAMES M. CRICK; WEI‐FEN CHEN; DAVE CRICK,https://orcid.org/0000-0001-8087-8777; https://orcid.org/0000-0002-6286-116X; https://orcid.org/0000-0003-4718-0515; https://orcid.org/0000-0003-1009-4197,UNITED KINGDOM; CANADA,10.1108/ijebr-10-2024-1173
9,"ALIAKBARI A, 2025, INT J ENTREP BEHAV RES",,2025.0,,2025,2025.0,node_id,,,,,0,0,59,false,,"ALIAKBARI A, 2025, INT J ENTREP BEHAV RES",,,,,
10,"GOYAL A, 2025",,2025.0,,2025,2025.0,node_id,,,,,0,0,55,false,,"GOYAL A, 2025",,,,,
