node_id,year,title,journal,source_title,doi,sap_rank,internal_indegree,internal_outdegree,is_top_fruit,year_score,citation_size_score,leaf_length,leaf_width,leaf_color,x,y,rotation
"RAHIMI A, 2026, J HOSP LEIS SPORT TO",2026.0,ENTREPRENEURIAL MARKETING EDUCATION AND INTENTIONS IN SPORT: INVESTIGATING THE MODERATING EFFECT OF SPORTING CAPITAL,JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,J HOSP LEIS SPORT TO,10.1016/j.jhlste.2026.100598,5923013969,0,34,False,1.0,1.0,34.0,14.62,#BECC2D,308.474,280.0,-65.0
"CHOOSET N, 2025, COGENT BUS MANAG",2025.0,DEVELOPING ENTREPRENEURIAL MARKETING DIMENSIONS FOR SMES IN THE DIGITAL ERA: A GROUNDED THEORY APPROACH,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2025.2480748,135386595043,0,95,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,562.4627130565851,237.03846301314803,-18.0
"YANG M, 2025, INT BUS REV",2025.0,TURNING DECISION-MAKING LOGIC INTO INTERNATIONAL PERFORMANCE AMONG SMES: REVEALING THE IMPORTANCE OF INTERNATIONAL ENTREPRENEURIAL MARKETING,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/j.ibusrev.2025.102457,27257392934,0,97,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,1043.5238331388114,225.77763161150784,29.0
"CAPELI CMD, 2025, J SMALL BUS ENTERP D",2025.0,THE MUTUAL INFLUENCE BETWEEN ENTREPRENEURIAL MARKETING AND CAUSAL AND EFFECTUAL ENTREPRENEURSHIP: AN EMPIRICAL STUDY IN AN EMERGING AND DEVELOPING ECONOMY,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,J SMALL BUS ENTERP D,10.1108/JSBED-04-2024-0197,23717889800,0,41,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,302.96703065223977,334.85368381909825,-54.0
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",2025.0,UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,4257569970,0,61,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,486.3206898192868,179.15919701754208,-7.0
"CRICK JM, 2025, J STRATEG MARK",2025.0,MANAGING AN ENTREPRENEURIAL MARKETING ORIENTATION IN TURBULENT COMPETITIVE BUSINESS ENVIRONMENTS,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2024.2445655,2452735063,0,45,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,1109.2040591961604,256.66075862679577,40.0
"ROBLEDO S, 2025, J RES MARK ENTREP",2025.0,EXAMINING THE ROLE OF MONETARY INCENTIVES AND TIE STRENGTH IN MEDIATING SATISFACTION AND WORD OF MOUTH IN MULTILEVEL MARKETING COMPANIES: AN ENTREPRENEURIAL MARKETING PERSPECTIVE,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-07-2023-0117,930078481,0,48,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,201.64497995414573,340.02884910775543,-43.0
"ALFORD P, 2025, INT J ENTREP BEHAV R",2025.0,DIGITAL ENTREPRENEURIAL MARKETING BRICOLAGE: SHAPING TECHNOLOGY-IN-PRACTICE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2024-0746,603052032,0,25,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,1159.77944132207,312.01429166452596,51.0
"GOYAL A, 2025, TOUR HOSP MANAG-CROA",2025.0,INFLUENCE OF ENTREPRENEURIAL MARKETING ON HOTEL INDUSTRY PERFORMANCE: A MEDIATION ANALYSIS,TOURISM AND HOSPITALITY MANAGEMENT-CROATIA,TOUR HOSP MANAG-CROA,10.20867/thm.31.3.6,600156252,0,53,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,83.29619291578786,314.1019862131981,-32.0
"TIAN HY, 2025, J COMPETITIVENESS",2025.0,DATA-DRIVEN DISRUPTIVE COMPETITIVENESS: EXPLORING THE ROLE OF BIG DATA ANALYTICS CAPABILITY AND ENTREPRENEURIAL MARKETING IN DISRUPTIVE INNOVATION,JOURNAL OF COMPETITIVENESS,J COMPETITIVENESS,10.7441/joc.2025.01.12,233605618,0,29,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,694.1433579349574,129.1241346192637,15.0
