subtopic_id,root_id,node_id,sap_rank,normalized_sap_rank,within_cluster_pair_strength,root_anchor_score,title,year,journal,source_title
subtopic_1,root_01,"MORRIS MH, 2002, J MARKET THEORY PRAC",40268174438,1.0,0.416668,0.766667,ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,2002.0,THE JOURNAL OF MARKETING THEORY AND PRACTICE,J MARKET THEORY PRAC
subtopic_1,root_02,"COLLINSON E, 2001, MANAGEMENT DECISION",38429612973,0.954338,0.369404,0.720364,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,2001.0,MANAGEMENT DECISION,MANAGEMENT DECISION
subtopic_1,root_03,"STOKES D, 2000, J RES MARKETING ENTR",23496391859,0.583459,0.373062,0.4993,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,2000.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARKETING ENTR
subtopic_1,root_08,"BARNEY J, 1991, J MANAGE",17479986438,0.434036,0.282017,0.373228,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,1991.0,JOURNAL OF MANAGEMENT,J MANAGE
subtopic_1,root_10,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",8091780732,0.200872,0.320499,0.248723,Marketing and entrepreneurship in SMEs : an innovative approach,1995.0,,MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH
subtopic_1,root_12,"BJERKE B, 2002, ENTREPRENEURIAL MARK",3634812307,0.09018,0.337177,0.188979,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,2002.0,,ENTREPRENEURIAL MARK
subtopic_2,root_05,"MILLER D, 1983, MANAGE SCI",21836642848,0.542237,0.351563,0.465968,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,1983.0,MANAGEMENT SCIENCE,MANAGE SCI
subtopic_2,root_06,"MATSUNO K, 2002, J MARKETING",19307962597,0.479436,0.422266,0.456568,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,2002.0,JOURNAL OF MARKETING,J MARKETING
subtopic_2,root_07,"LUMPKIN GT, 1996, ACAD MANAGE REV",18814634470,0.467183,0.390251,0.43641,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,1996.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV
subtopic_2,root_13,"NARVER JC, 1990, J MARKETING",3173543676,0.078724,0.428979,0.218826,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,1990.0,JOURNAL OF MARKETING,J MARKETING
subtopic_2,root_14,"KOHLI AK, 1990, J MARKETING",2310578269,0.057291,0.369467,0.182162,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",1990.0,JOURNAL OF MARKETING,J MARKETING
subtopic_3,root_09,"SARASVATHY SD, 2001, ACAD MANAGE REV",8160153812,0.20257,0.290434,0.237716,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,2001.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV
subtopic_3,root_11,"READ S, 2009, J MARKETING",3912055722,0.097065,0.323685,0.187713,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,2009.0,JOURNAL OF MARKETING,J MARKETING
subtopic_3,root_16,"GILMORE A, 2011, J RES MARK ENTREP",494678154,0.012192,0.325694,0.137593,ENTREPRENEURIAL AND SME MARKETING,2011.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP
subtopic_3,root_15,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",597888821,0.014755,0.305187,0.130928,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,2011.0,JOURNAL OF SMALL BUSINESS & ENTREPRENEURSHIP,JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP
subtopic_3,root_17,"HANSEN DJ, 2010, J RES MARK ENTREP",467715403,0.011522,0.30867,0.130381,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,2010.0,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP
subtopic_4,root_04,"SHANE S, 2000, ACAD MANAGE REV",22758506587,0.565133,0.0,0.33908,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,2000.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV
subtopic_5,root_18,"BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",74001259,0.001744,0.0,0.001046,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,2012.0,NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP,NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP
subtopic_6,root_19,"ALQAHTANI N, 2022, J STRATEG MARK",3783162,0.0,0.0,0.0,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",2022.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK
