root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19
root_01,1.0,0.472615,0.512891,0.336391,0.330386,0.31801,0.395745,0.378626,0.344069,0.35376,0.315297,0.365446,0.357737,0.355546,0.39541,0.365792,0.322139,0.300237,0.194804
root_02,0.472615,1.0,0.425214,0.324663,0.283946,0.273178,0.312502,0.267516,0.295037,0.327594,0.286828,0.354081,0.293773,0.255362,0.339703,0.32188,0.241064,0.236095,0.123764
root_03,0.512891,0.425214,1.0,0.303005,0.296315,0.331386,0.291471,0.295162,0.305827,0.323756,0.329211,0.308285,0.278565,0.281026,0.340881,0.342783,0.272641,0.257451,0.151088
root_04,0.336391,0.324663,0.303005,1.0,0.306271,0.246756,0.266215,0.25985,0.274735,0.217682,0.266464,0.238438,0.252367,0.250729,0.222705,0.221956,0.217034,0.146922,0.094319
root_05,0.330386,0.283946,0.296315,0.306271,1.0,0.367036,0.357271,0.303451,0.243884,0.26725,0.246419,0.304276,0.36861,0.313336,0.242801,0.193406,0.266731,0.201927,0.194728
root_06,0.31801,0.273178,0.331386,0.246756,0.367036,1.0,0.439075,0.295369,0.27988,0.247055,0.316437,0.242407,0.513536,0.369418,0.228255,0.222038,0.229402,0.170487,0.213958
root_07,0.395745,0.312502,0.291471,0.266215,0.357271,0.439075,1.0,0.378059,0.265105,0.238645,0.215853,0.284432,0.401656,0.363001,0.254254,0.286298,0.244899,0.243187,0.259782
root_08,0.378626,0.267516,0.295162,0.25985,0.303451,0.295369,0.378059,1.0,0.2567,0.204046,0.217764,0.264733,0.310071,0.250465,0.263585,0.249504,0.251673,0.233003,0.215186
root_09,0.344069,0.295037,0.305827,0.274735,0.243884,0.27988,0.265105,0.2567,1.0,0.234296,0.38691,0.310248,0.22762,0.237779,0.257289,0.257084,0.260455,0.168465,0.124956
root_10,0.35376,0.327594,0.323756,0.217682,0.26725,0.247055,0.238645,0.204046,0.234296,1.0,0.248537,0.393341,0.250451,0.273348,0.28291,0.320084,0.254465,0.168926,0.09091
root_11,0.315297,0.286828,0.329211,0.266464,0.246419,0.316437,0.215853,0.217764,0.38691,0.248537,1.0,0.263821,0.281488,0.258657,0.249458,0.36183,0.296543,0.204316,0.166779
root_12,0.365446,0.354081,0.308285,0.238438,0.304276,0.242407,0.284432,0.264733,0.310248,0.393341,0.263821,1.0,0.281039,0.318861,0.373792,0.290496,0.317237,0.27198,0.138408
root_13,0.357737,0.293773,0.278565,0.252367,0.36861,0.513536,0.401656,0.310071,0.22762,0.250451,0.281488,0.281039,1.0,0.432113,0.277622,0.265083,0.256777,0.222079,0.217652
root_14,0.355546,0.255362,0.281026,0.250729,0.313336,0.369418,0.363001,0.250465,0.237779,0.273348,0.258657,0.318861,0.432113,1.0,0.304926,0.266213,0.300528,0.252933,0.161749
root_15,0.39541,0.339703,0.340881,0.222705,0.242801,0.228255,0.254254,0.263585,0.257289,0.28291,0.249458,0.373792,0.277622,0.304926,1.0,0.360091,0.353911,0.349136,0.173801
root_16,0.365792,0.32188,0.342783,0.221956,0.193406,0.222038,0.286298,0.249504,0.257084,0.320084,0.36183,0.290496,0.265083,0.266213,0.360091,1.0,0.323771,0.317387,0.181245
root_17,0.322139,0.241064,0.272641,0.217034,0.266731,0.229402,0.244899,0.251673,0.260455,0.254465,0.296543,0.317237,0.256777,0.300528,0.353911,0.323771,1.0,0.246573,0.139227
root_18,0.300237,0.236095,0.257451,0.146922,0.201927,0.170487,0.243187,0.233003,0.168465,0.168926,0.204316,0.27198,0.222079,0.252933,0.349136,0.317387,0.246573,1.0,0.198538
root_19,0.194804,0.123764,0.151088,0.094319,0.194728,0.213958,0.259782,0.215186,0.124956,0.09091,0.166779,0.138408,0.217652,0.161749,0.173801,0.181245,0.139227,0.198538,1.0
