root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19
root_01,1.0,0.533551,0.569569,0.290364,0.290449,0.262425,0.335061,0.337293,0.422189,0.385367,0.359768,0.315078,0.301195,0.336292,0.392182,0.431015,0.375779,0.392289,0.180231
root_02,0.533551,1.0,0.485163,0.287837,0.247298,0.222745,0.259384,0.254779,0.382255,0.361007,0.315991,0.316769,0.243416,0.240489,0.350999,0.376438,0.293836,0.333945,0.122487
root_03,0.569569,0.485163,1.0,0.275416,0.283835,0.276068,0.247139,0.27318,0.381127,0.372772,0.388712,0.276889,0.237157,0.278976,0.357053,0.4226,0.349528,0.356359,0.151738
root_04,0.290364,0.287837,0.275416,1.0,0.381462,0.194347,0.216269,0.346821,0.237814,0.288735,0.24386,0.333919,0.203312,0.215682,0.317638,0.201097,0.252626,0.156104,0.15645
root_05,0.290449,0.247298,0.283835,0.381462,1.0,0.302129,0.301085,0.363897,0.207231,0.336371,0.264157,0.373843,0.310176,0.285283,0.325479,0.206439,0.319935,0.209711,0.241996
root_06,0.262425,0.222745,0.276068,0.194347,0.302129,1.0,0.508097,0.257252,0.249693,0.197555,0.312718,0.191054,0.575606,0.44007,0.183953,0.181123,0.189251,0.135362,0.306298
root_07,0.335061,0.259384,0.247139,0.216269,0.301085,0.508097,1.0,0.331364,0.240418,0.198069,0.233395,0.230907,0.476021,0.437308,0.211259,0.243954,0.211079,0.203257,0.347264
root_08,0.337293,0.254779,0.27318,0.346821,0.363897,0.257252,0.331364,1.0,0.241297,0.273435,0.197252,0.355295,0.271919,0.228503,0.351054,0.218739,0.27322,0.237212,0.276628
root_09,0.422189,0.382255,0.381127,0.237814,0.207231,0.249693,0.240418,0.241297,1.0,0.273661,0.405413,0.270456,0.2074,0.243045,0.269351,0.316966,0.304151,0.270968,0.135052
root_10,0.385367,0.361007,0.372772,0.288735,0.336371,0.197555,0.198069,0.273435,0.273661,1.0,0.294589,0.434947,0.20617,0.259368,0.368486,0.365755,0.338983,0.2472,0.140517
root_11,0.359768,0.315991,0.388712,0.24386,0.264157,0.312718,0.233395,0.197252,0.405413,0.294589,1.0,0.227795,0.289295,0.307527,0.2583,0.430106,0.368169,0.269466,0.202237
root_12,0.315078,0.316769,0.276889,0.333919,0.373843,0.191054,0.230907,0.355295,0.270456,0.434947,0.227795,1.0,0.225361,0.266293,0.446083,0.248212,0.327419,0.25939,0.193367
root_13,0.301195,0.243416,0.237157,0.203312,0.310176,0.575606,0.476021,0.271919,0.2074,0.20617,0.289295,0.225361,1.0,0.494704,0.228264,0.22449,0.21891,0.182939,0.308753
root_14,0.336292,0.240489,0.278976,0.215682,0.285283,0.44007,0.437308,0.228503,0.243045,0.259368,0.307527,0.266293,0.494704,1.0,0.272408,0.269602,0.297802,0.245957,0.257255
root_15,0.392182,0.350999,0.357053,0.317638,0.325479,0.183953,0.211259,0.351054,0.269351,0.368486,0.2583,0.446083,0.228264,0.272408,1.0,0.35696,0.395391,0.369028,0.219597
root_16,0.431015,0.376438,0.4226,0.201097,0.206439,0.181123,0.243954,0.218739,0.316966,0.365755,0.430106,0.248212,0.22449,0.269602,0.35696,1.0,0.397728,0.391626,0.167692
root_17,0.375779,0.293836,0.349528,0.252626,0.319935,0.189251,0.211079,0.27322,0.304151,0.338983,0.368169,0.327419,0.21891,0.297802,0.395391,0.397728,1.0,0.320945,0.161834
root_18,0.392289,0.333945,0.356359,0.156104,0.209711,0.135362,0.203257,0.237212,0.270968,0.2472,0.269466,0.25939,0.182939,0.245957,0.369028,0.391626,0.320945,1.0,0.18621
root_19,0.180231,0.122487,0.151738,0.15645,0.241996,0.306298,0.347264,0.276628,0.135052,0.140517,0.202237,0.193367,0.308753,0.257255,0.219597,0.167692,0.161834,0.18621,1.0
