source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
root_06,root_13,"MATSUNO K, 2002, J MARKETING","NARVER JC, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.39864,0.420579,0.934725,0.513536
root_01,root_03,"MORRIS MH, 2002, J MARKET THEORY PRAC","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.278293,0.549978,0.975834,0.512891
root_01,root_02,"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,0.184125,0.551594,0.983501,0.472615
root_06,root_07,"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.233613,0.387069,0.992374,0.439075
root_13,root_14,"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.141603,0.502266,0.96299,0.432113
root_02,root_03,"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.156191,0.451055,0.985293,0.425214
root_07,root_13,"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.120294,0.46083,0.931164,0.401656
root_01,root_07,"MORRIS MH, 2002, J MARKET THEORY PRAC","LUMPKIN GT, 1996, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.135517,0.397815,0.977638,0.395745
root_01,root_15,"MORRIS MH, 2002, J MARKET THEORY PRAC","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.225905,0.394764,0.777924,0.39541
root_10,root_12,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","BJERKE B, 2002, ENTREPRENEURIAL MARK",Marketing and entrepreneurship in SMEs : an innovative approach,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.102013,0.448611,0.952105,0.393341
root_09,root_11,"SARASVATHY SD, 2001, ACAD MANAGE REV","READ S, 2009, J MARKETING",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.017498,0.537401,0.954727,0.38691
root_01,root_08,"MORRIS MH, 2002, J MARKET THEORY PRAC","BARNEY J, 1991, J MANAGE",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,0.064938,0.43858,0.979502,0.378626
