source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,text_similarity,co_citation_similarity,structural_similarity,ntf_topic_similarity,combined_similarity
root_06,root_13,"MATSUNO K, 2002, J MARKETING","NARVER JC, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.39864,0.420579,0.934725,0.99845,0.575606
root_01,root_03,"MORRIS MH, 2002, J MARKET THEORY PRAC","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.278293,0.549978,0.975834,0.979222,0.569569
root_01,root_02,"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,0.184125,0.551594,0.983501,0.979317,0.533551
root_06,root_07,"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.233613,0.387069,0.992374,0.997833,0.508097
root_13,root_14,"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.141603,0.502266,0.96299,0.952896,0.494704
root_02,root_03,"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.156191,0.451055,0.985293,0.930503,0.485163
root_07,root_13,"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.120294,0.46083,0.931164,0.999867,0.476021
root_12,root_15,"BJERKE B, 2002, ENTREPRENEURIAL MARK","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.192498,0.333428,0.852341,0.941361,0.446083
root_06,root_14,"MATSUNO K, 2002, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.173111,0.31427,0.907619,0.936016,0.44007
root_07,root_14,"LUMPKIN GT, 1996, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.16279,0.308789,0.908347,0.955352,0.437308
root_10,root_12,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","BJERKE B, 2002, ENTREPRENEURIAL MARK",Marketing and entrepreneurship in SMEs : an innovative approach,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.102013,0.448611,0.952105,0.778282,0.434947
root_01,root_16,"MORRIS MH, 2002, J MARKET THEORY PRAC","GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL AND SME MARKETING,0.20371,0.317493,0.815001,0.880219,0.431015
root_11,root_16,"READ S, 2009, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,ENTREPRENEURIAL AND SME MARKETING,0.198414,0.247487,0.929615,0.91368,0.430106
root_03,root_16,"STOKES D, 2000, J RES MARKETING ENTR","GILMORE A, 2011, J RES MARK ENTREP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,ENTREPRENEURIAL AND SME MARKETING,0.26496,0.168645,0.822625,0.950859,0.4226
root_01,root_09,"MORRIS MH, 2002, J MARKET THEORY PRAC","SARASVATHY SD, 2001, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.051425,0.395103,0.913208,0.974048,0.422189
root_09,root_11,"SARASVATHY SD, 2001, ACAD MANAGE REV","READ S, 2009, J MARKETING",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.017498,0.537401,0.954727,0.626559,0.405413
root_16,root_17,"GILMORE A, 2011, J RES MARK ENTREP","HANSEN DJ, 2010, J RES MARK ENTREP",ENTREPRENEURIAL AND SME MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.169833,0.180422,0.92099,0.916795,0.397728
root_15,root_17,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","HANSEN DJ, 2010, J RES MARK ENTREP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.133933,0.318788,0.910327,0.730879,0.395391
root_01,root_18,"MORRIS MH, 2002, J MARKET THEORY PRAC","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.085718,0.370543,0.659867,0.985721,0.392289
root_01,root_15,"MORRIS MH, 2002, J MARKET THEORY PRAC","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.225905,0.394764,0.777924,0.444679,0.392182
root_16,root_18,"GILMORE A, 2011, J RES MARK ENTREP","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL AND SME MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.132026,0.276956,0.805203,0.899656,0.391626
root_03,root_11,"STOKES D, 2000, J RES MARKETING ENTR","READ S, 2009, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.175571,0.212,0.880021,0.819207,0.388712
root_01,root_10,"MORRIS MH, 2002, J MARKET THEORY PRAC","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,Marketing and entrepreneurship in SMEs : an innovative approach,0.156494,0.273954,0.937267,0.666623,0.385367
