source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,ntf_topic_similarity
root_07,root_13,"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.999867
root_06,root_13,"MATSUNO K, 2002, J MARKETING","NARVER JC, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.99845
root_06,root_07,"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.997833
root_04,root_12,"SHANE S, 2000, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.992168
root_02,root_09,"COLLINSON E, 2001, MANAGEMENT DECISION","SARASVATHY SD, 2001, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.988758
root_03,root_18,"STOKES D, 2000, J RES MARKETING ENTR","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.988473
root_01,root_18,"MORRIS MH, 2002, J MARKET THEORY PRAC","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.985721
root_08,root_12,"BARNEY J, 1991, J MANAGE","BJERKE B, 2002, ENTREPRENEURIAL MARK",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.981576
root_01,root_02,"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,0.979317
root_01,root_03,"MORRIS MH, 2002, J MARKET THEORY PRAC","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.979222
root_01,root_09,"MORRIS MH, 2002, J MARKET THEORY PRAC","SARASVATHY SD, 2001, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.974048
root_04,root_08,"SHANE S, 2000, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,0.966228
root_02,root_18,"COLLINSON E, 2001, MANAGEMENT DECISION","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.965626
root_07,root_14,"LUMPKIN GT, 1996, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.955352
root_13,root_14,"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.952896
root_04,root_15,"SHANE S, 2000, ACAD MANAGE REV","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.950978
root_03,root_16,"STOKES D, 2000, J RES MARKETING ENTR","GILMORE A, 2011, J RES MARK ENTREP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,ENTREPRENEURIAL AND SME MARKETING,0.950859
root_09,root_18,"SARASVATHY SD, 2001, ACAD MANAGE REV","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.945598
root_08,root_15,"BARNEY J, 1991, J MANAGE","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.944653
root_10,root_15,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Marketing and entrepreneurship in SMEs : an innovative approach,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.941692
root_12,root_15,"BJERKE B, 2002, ENTREPRENEURIAL MARK","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.941361
root_06,root_14,"MATSUNO K, 2002, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.936016
root_02,root_03,"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.930503
root_04,root_05,"SHANE S, 2000, ACAD MANAGE REV","MILLER D, 1983, MANAGE SCI",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,0.930044
root_03,root_09,"STOKES D, 2000, J RES MARKETING ENTR","SARASVATHY SD, 2001, ACAD MANAGE REV",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.922553
root_16,root_17,"GILMORE A, 2011, J RES MARK ENTREP","HANSEN DJ, 2010, J RES MARK ENTREP",ENTREPRENEURIAL AND SME MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.916795
root_10,root_17,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HANSEN DJ, 2010, J RES MARK ENTREP",Marketing and entrepreneurship in SMEs : an innovative approach,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.91479
root_11,root_16,"READ S, 2009, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,ENTREPRENEURIAL AND SME MARKETING,0.91368
root_16,root_18,"GILMORE A, 2011, J RES MARK ENTREP","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL AND SME MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.899656
root_05,root_15,"MILLER D, 1983, MANAGE SCI","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.890829
root_01,root_16,"MORRIS MH, 2002, J MARKET THEORY PRAC","GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL AND SME MARKETING,0.880219
root_11,root_17,"READ S, 2009, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.878593
