root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19
root_01,1.0,0.184125,0.278293,0.063868,0.035052,0.038184,0.135517,0.064938,0.051425,0.156494,0.095868,0.112737,0.021307,0.145309,0.225905,0.20371,0.133586,0.085718,0.051861
root_02,0.184125,1.0,0.156191,0.0,0.0,0.053693,0.028794,0.0,0.03597,0.075575,0.065331,0.077096,0.012481,0.028606,0.172491,0.128038,0.083743,0.055719,0.048605
root_03,0.278293,0.156191,1.0,0.037764,0.042909,0.095906,0.020093,0.027357,0.025101,0.180604,0.175571,0.129091,0.084733,0.083978,0.256156,0.26496,0.118022,0.118226,0.077049
root_04,0.063868,0.0,0.037764,1.0,0.054826,0.011202,0.037935,0.029568,0.0,0.027947,0.011789,0.027057,0.03955,0.124949,0.071188,0.042976,0.029774,0.0,0.014281
root_05,0.035052,0.0,0.042909,0.054826,1.0,0.029546,0.018292,0.02377,0.0,0.048947,0.06239,0.082162,0.048514,0.027943,0.045796,0.035064,0.048652,0.01655,0.120573
root_06,0.038184,0.053693,0.095906,0.011202,0.029546,1.0,0.233613,0.041717,0.028763,0.0,0.11783,0.034703,0.39864,0.173111,0.082692,0.042164,0.055978,0.024747,0.279846
root_07,0.135517,0.028794,0.020093,0.037935,0.018292,0.233613,1.0,0.041496,0.050593,0.018473,0.020168,0.036177,0.120294,0.16279,0.039005,0.029893,0.026891,0.025472,0.238191
root_08,0.064938,0.0,0.027357,0.029568,0.02377,0.041717,0.041496,1.0,0.008401,0.008825,0.006269,0.0516,0.013847,0.032474,0.019351,0.018121,0.02891,0.014941,0.148959
root_09,0.051425,0.03597,0.025101,0.0,0.0,0.028763,0.050593,0.008401,1.0,0.0,0.017498,0.107932,0.0,0.0,0.062649,0.021285,0.018237,0.014924,0.015622
root_10,0.156494,0.075575,0.180604,0.027947,0.048947,0.0,0.018473,0.008825,0.0,1.0,0.090506,0.102013,0.014047,0.047084,0.148904,0.223256,0.102603,0.041023,0.032001
root_11,0.095868,0.065331,0.175571,0.011789,0.06239,0.11783,0.020168,0.006269,0.017498,0.090506,1.0,0.037505,0.08122,0.089789,0.10184,0.198414,0.076598,0.036423,0.095015
root_12,0.112737,0.077096,0.129091,0.027057,0.082162,0.034703,0.036177,0.0516,0.107932,0.102013,0.037505,1.0,0.020444,0.04937,0.192498,0.101672,0.123229,0.053979,0.128999
root_13,0.021307,0.012481,0.084733,0.03955,0.048514,0.39864,0.120294,0.013847,0.0,0.014047,0.08122,0.020444,1.0,0.141603,0.063597,0.044365,0.063177,0.010519,0.185982
root_14,0.145309,0.028606,0.083978,0.124949,0.027943,0.173111,0.16279,0.032474,0.0,0.047084,0.089789,0.04937,0.141603,1.0,0.06454,0.103315,0.062895,0.025882,0.063191
root_15,0.225905,0.172491,0.256156,0.071188,0.045796,0.082692,0.039005,0.019351,0.062649,0.148904,0.10184,0.192498,0.063597,0.06454,1.0,0.20306,0.133933,0.088076,0.084486
root_16,0.20371,0.128038,0.26496,0.042976,0.035064,0.042164,0.029893,0.018121,0.021285,0.223256,0.198414,0.101672,0.044365,0.103315,0.20306,1.0,0.169833,0.132026,0.046336
root_17,0.133586,0.083743,0.118022,0.029774,0.048652,0.055978,0.026891,0.02891,0.018237,0.102603,0.076598,0.123229,0.063177,0.062895,0.133933,0.169833,1.0,0.04261,0.043761
root_18,0.085718,0.055719,0.118226,0.0,0.01655,0.024747,0.025472,0.014941,0.014924,0.041023,0.036423,0.053979,0.010519,0.025882,0.088076,0.132026,0.04261,1.0,0.053008
root_19,0.051861,0.048605,0.077049,0.014281,0.120573,0.279846,0.238191,0.148959,0.015622,0.032001,0.095015,0.128999,0.185982,0.063191,0.084486,0.046336,0.043761,0.053008,1.0
