Source,Target,Type,Weight,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
"MATSUNO K, 2002, J MARKETING","NARVER JC, 1990, J MARKETING",Undirected,0.513536,0.39864,0.420579,0.934725,0.513536
"MORRIS MH, 2002, J MARKET THEORY PRAC","STOKES D, 2000, J RES MARKETING ENTR",Undirected,0.512891,0.278293,0.549978,0.975834,0.512891
"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",Undirected,0.472615,0.184125,0.551594,0.983501,0.472615
"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",Undirected,0.439075,0.233613,0.387069,0.992374,0.439075
"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",Undirected,0.432113,0.141603,0.502266,0.96299,0.432113
"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",Undirected,0.425214,0.156191,0.451055,0.985293,0.425214
"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",Undirected,0.401656,0.120294,0.46083,0.931164,0.401656
"MORRIS MH, 2002, J MARKET THEORY PRAC","LUMPKIN GT, 1996, ACAD MANAGE REV",Undirected,0.395745,0.135517,0.397815,0.977638,0.395745
"MORRIS MH, 2002, J MARKET THEORY PRAC","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.39541,0.225905,0.394764,0.777924,0.39541
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.393341,0.102013,0.448611,0.952105,0.393341
"SARASVATHY SD, 2001, ACAD MANAGE REV","READ S, 2009, J MARKETING",Undirected,0.38691,0.017498,0.537401,0.954727,0.38691
"MORRIS MH, 2002, J MARKET THEORY PRAC","BARNEY J, 1991, J MANAGE",Undirected,0.378626,0.064938,0.43858,0.979502,0.378626
"LUMPKIN GT, 1996, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",Undirected,0.378059,0.041496,0.46083,0.990478,0.378059
"BJERKE B, 2002, ENTREPRENEURIAL MARK","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.373792,0.192498,0.333428,0.852341,0.373792
"MATSUNO K, 2002, J MARKETING","KOHLI AK, 1990, J MARKETING",Undirected,0.369418,0.173111,0.31427,0.907619,0.369418
"MILLER D, 1983, MANAGE SCI","NARVER JC, 1990, J MARKETING",Undirected,0.36861,0.048514,0.457957,0.932466,0.36861
"MILLER D, 1983, MANAGE SCI","MATSUNO K, 2002, J MARKETING",Undirected,0.367036,0.029546,0.440352,0.998082,0.367036
"MORRIS MH, 2002, J MARKET THEORY PRAC","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.365792,0.20371,0.317493,0.815001,0.365792
"MORRIS MH, 2002, J MARKET THEORY PRAC","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.365446,0.112737,0.385474,0.898991,0.365446
"LUMPKIN GT, 1996, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",Undirected,0.363001,0.16279,0.308789,0.908347,0.363001
"READ S, 2009, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.36183,0.198414,0.247487,0.929615,0.36183
"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.360091,0.20306,0.248471,0.908745,0.360091
"MORRIS MH, 2002, J MARKET THEORY PRAC","NARVER JC, 1990, J MARKETING",Undirected,0.357737,0.021307,0.465992,0.925259,0.357737
"MILLER D, 1983, MANAGE SCI","LUMPKIN GT, 1996, ACAD MANAGE REV",Undirected,0.357271,0.018292,0.429097,0.99428,0.357271
"MORRIS MH, 2002, J MARKET THEORY PRAC","KOHLI AK, 1990, J MARKETING",Undirected,0.355546,0.145309,0.32004,0.890716,0.355546
"COLLINSON E, 2001, MANAGEMENT DECISION","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.354081,0.077096,0.399335,0.898101,0.354081
"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.353911,0.133933,0.318788,0.910327,0.353911
"MORRIS MH, 2002, J MARKET THEORY PRAC","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.35376,0.156494,0.273954,0.937267,0.35376
"MORRIS MH, 2002, J MARKET THEORY PRAC","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.344069,0.051425,0.395103,0.913208,0.344069
"STOKES D, 2000, J RES MARKETING ENTR","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.342783,0.26496,0.168645,0.822625,0.342783
"STOKES D, 2000, J RES MARKETING ENTR","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.340881,0.256156,0.198653,0.780414,0.340881
"COLLINSON E, 2001, MANAGEMENT DECISION","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.339703,0.172491,0.306719,0.773654,0.339703
"STOKES D, 2000, J RES MARKETING ENTR","MATSUNO K, 2002, J MARKETING",Undirected,0.331386,0.095906,0.259645,0.986762,0.331386
"MORRIS MH, 2002, J MARKET THEORY PRAC","MILLER D, 1983, MANAGE SCI",Undirected,0.330386,0.035052,0.339182,0.979495,0.330386
"STOKES D, 2000, J RES MARKETING ENTR","READ S, 2009, J MARKETING",Undirected,0.329211,0.175571,0.212,0.880021,0.329211
"COLLINSON E, 2001, MANAGEMENT DECISION","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.327594,0.075575,0.299572,0.943677,0.327594
"GILMORE A, 2011, J RES MARK ENTREP","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.323771,0.169833,0.180422,0.92099,0.323771
"STOKES D, 2000, J RES MARKETING ENTR","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.323756,0.180604,0.145518,0.957762,0.323756
"MORRIS MH, 2002, J MARKET THEORY PRAC","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.322139,0.133586,0.298719,0.787368,0.322139
"COLLINSON E, 2001, MANAGEMENT DECISION","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.32188,0.128038,0.289319,0.815005,0.32188
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.320084,0.223256,0.138675,0.855412,0.320084
