source_trunk_id,target_trunk_id,source_node_id,target_node_id,source_title,target_title,text_similarity,shared_reference_similarity,shared_citer_similarity,combined_similarity
trunk_02,trunk_03,"ALQAHTANI N, 2020, J BUS RES","WHALEN P, 2016, J STRATEG MARK",ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SYNTHESIS AND CONCEPTUAL DEVELOPMENT,ANATOMY OF COMPETITIVE ADVANTAGE: TOWARDS A CONTINGENCY THEORY OF ENTREPRENEURIAL MARKETING,0.167718,0.345612,0.595618,0.336956
trunk_04,trunk_05,"MORRISH SC, 2010, J STRATEG MARK","MORRISH SC, 2011, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING: ACKNOWLEDGING THE ENTREPRENEUR AND CUSTOMER-CENTRIC INTERRELATIONSHIP,Entrepreneurial marketing: a strategy for the twenty-first century?,0.231737,0.304997,0.498253,0.324007
trunk_01,trunk_05,"MILES MP, 2006, EUR J MARKETING","MORRISH SC, 2011, J RES MARK ENTREP","Large firms, entrepreneurial marketing processes, and the cycle of competitive advantage",Entrepreneurial marketing: a strategy for the twenty-first century?,0.158333,0.346109,0.400031,0.284479
trunk_02,trunk_10,"ALQAHTANI N, 2020, J BUS RES","SADIKU-DUSHI N, 2019, J BUS RES",ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SYNTHESIS AND CONCEPTUAL DEVELOPMENT,ENTREPRENEURIAL MARKETING DIMENSIONS AND SMES PERFORMANCE,0.057105,0.210694,0.71356,0.274975
trunk_03,trunk_08,"WHALEN P, 2016, J STRATEG MARK","MILES M, 2015, J STRATEG MARK",ANATOMY OF COMPETITIVE ADVANTAGE: TOWARDS A CONTINGENCY THEORY OF ENTREPRENEURIAL MARKETING,EXPLORING ENTREPRENEURIAL MARKETING,0.104636,0.210232,0.62113,0.270718
trunk_04,trunk_06,"MORRISH SC, 2010, J STRATEG MARK","HILLS GE, 2008, J SMALL BUS MANAGE",ENTREPRENEURIAL MARKETING: ACKNOWLEDGING THE ENTREPRENEUR AND CUSTOMER-CENTRIC INTERRELATIONSHIP,THE EVOLUTION AND DEVELOPMENT OF ENTREPRENEURIAL MARKETING,0.115817,0.283183,0.473278,0.26376
trunk_05,trunk_08,"MORRISH SC, 2011, J RES MARK ENTREP","MILES M, 2015, J STRATEG MARK",Entrepreneurial marketing: a strategy for the twenty-first century?,EXPLORING ENTREPRENEURIAL MARKETING,0.093793,0.265987,0.503155,0.256401
trunk_07,trunk_09,"TORRES G, 2024, J RES MARK ENTREP","SAHU CK, 2024, J SMALL BUS ENTERP D",BUILDING SALES THROUGH CONNECTIONS: HOW NETWORK CAPABILITIES AND TIE STRENGTH FOSTER ENTREPRENEURIAL MARKETING,ENTREPRENEURIAL MARKETING PRACTICES AND MANUFACTURING VENTURE PERFORMANCE DURING A PANDEMIC: THE MEDIATING ROLE OF INNOVATION,0.132931,0.147178,0.57735,0.249022
trunk_11,trunk_19,"ZAHARA Z, 2023, COGENT BUS MANAG","GLIGA G, 2023, J BUS RES",ENTREPRENEURIAL MARKETING AND MARKETING PERFORMANCE THROUGH DIGITAL MARKETING CAPABILITIES OF SMES IN POST-PANDEMIC RECOVERY,MARKETING CAPABILITY DEVELOPMENT THROUGH NETWORKING - AN ENTREPRENEURIAL MARKETING PERSPECTIVE,0.261575,0.117444,0.400892,0.245958
trunk_01,trunk_04,"MILES MP, 2006, EUR J MARKETING","MORRISH SC, 2010, J STRATEG MARK","Large firms, entrepreneurial marketing processes, and the cycle of competitive advantage",ENTREPRENEURIAL MARKETING: ACKNOWLEDGING THE ENTREPRENEUR AND CUSTOMER-CENTRIC INTERRELATIONSHIP,0.092973,0.312097,0.380952,0.241661
